@relation dataset_2213_cpu_small-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute lread numeric
@attribute lwrite numeric
@attribute scall numeric
@attribute sread numeric
@attribute swrite numeric
@attribute fork numeric
@attribute exec numeric
@attribute rchar numeric
@attribute wchar numeric
@attribute runqsz numeric
@attribute freemem numeric
@attribute freeswap numeric
@attribute usr numeric

@data
0.030894,0.095652,0.08188,0.019014,0.013213,0.00994,0.003358,0.008102,0.019565,0.000142,0.074006,0.433612,0.939394
0.011924,0.026087,0.369025,0.075866,0.046063,0.119284,0.053727,0.214723,0.162464,0.000992,0.068577,0.599013,0.828283
0.020596,0.052174,0.474968,0.053276,0.034135,0.28827,0.100739,0.158645,0.11328,0.000461,0.013197,0.452824,0.717172
0.014092,0.003478,0.427568,0.088291,0.043861,0.308151,0.275353,0.129878,0.10841,0.000992,0.005596,0.486443,0.676768
0.00271,0.005217,0.296915,0.030309,0.02606,0.059642,0.020148,0.068266,0.088624,0,0.053876,0.439728,0.878788
0.017344,0.073043,0.179425,0.044428,0.037622,0.198807,0.026864,0.062646,0.018205,0,0.012529,0.456303,0.838384
0.000542,0,0.137839,0.02805,0.016884,0.039761,0.01679,0.017419,0.030431,0,0.100568,0.467258,0.909091
0.001084,0,0.332607,0.037651,0.03285,0.089463,0.010074,0.033318,0.024582,0.000425,0.045523,0.776121,0.868687
0.001084,0.001739,0.070817,0.012613,0.008625,0.00994,0.003358,0.002092,0.012434,0.000461,0.013532,0.451939,0.969697
0,0,0.011789,0.004895,0.004588,0.00994,0.003358,0.000456,0.003284,0.000213,0.095306,0.787728,0.919192
0.02168,0.01913,0.265908,0.052146,0.035786,0.139165,0.070517,0.089023,0.015096,0,0.081022,0.487129,0.868687
0.02981,0,0.366844,0.055723,0.03964,0.803678,0.620047,0.071532,0.015656,0,0.011026,0.491621,0.525253
0.007588,0.006957,0.118379,0.066265,0.042026,0.109344,0.030222,0.185471,0.095591,0,0.025643,0.477124,0.888889
0.000542,0,0.066134,0.02052,0.015049,0.019881,0.023506,0.001857,0.008751,0.001417,0.069663,0.47426,0.959596
0.003794,0.001739,0.178456,0.037839,0.015966,0.029821,0.020148,0.448053,0.017676,0.000638,0.003592,0.43885,0.767677
0.001084,0.001739,0.163437,0.024096,0.015232,0.039761,0.01679,0.039794,0.045654,0.000283,0.029235,0.440122,0.89899
0.000542,0,0.101986,0.011295,0.00624,0.00994,0.003358,0.006995,0.008906,0.000142,0.077765,0.475274,0.949495
0.004878,0.013913,0.029151,0.023155,0.01358,0.00994,0.003358,0.115219,0.027643,0.000071,0.10416,0.784816,0.969697
0.017344,0.045217,0.25,0.064759,0.043678,0.049702,0.023506,0.043182,0.038046,0.000567,0.029235,0.586367,0.808081
0.01355,0,0.261386,0.036145,0.022756,0.308648,0.302888,0.083698,0.025994,0.000602,0.006515,0.490169,0.767677
0.008672,0.024348,0.10126,0.021649,0.013764,0.039761,0.010074,0.127091,0.100986,0.00078,0.058303,0.673846,0.878788
0,0,0.026001,0.006212,0.011929,0.039761,0.010074,0.005125,0.026486,0,0.009773,0.778494,0.979798
0,0,0.005975,0.006024,0.002569,0.00994,0.003358,0.10113,0.126118,0.000638,0.300451,0.811341,0.979798
0.007046,0.036522,0.017361,0.002447,0.001285,0.00994,0.003358,0.000145,0.001769,0.000283,0.098146,0.780231,0.919192
0.001084,0,0.091328,0.015248,0.013948,0.019881,0.010074,0.008382,0.02697,0.240255,0.003174,0.000002,0
0.007046,0.005217,0.124516,0.013554,0.009727,0.039761,0.050369,0.022327,0.010993,0,0.044688,0.460411,0.919192
0.017886,0.074783,0.121447,0.029179,0.018903,0.00994,0.003358,0.00458,0.015084,0,0.016539,0.455327,0.929293
0.004878,0.001739,0.259771,0.070971,0.031198,0.308151,0.322364,0.013682,0.015203,0.000177,0.011109,0.491743,0.767677
0.022222,0.055652,0.411095,0.033697,0.020921,0.138668,0.120719,0.023326,0.03442,0.000496,0.012863,0.723774,0.808081
0.001084,0.001739,0.005249,0.000941,0.00312,0.00994,0.003358,0.003955,0.004055,0,0.533495,0.834214,1
0.001084,0,0.034318,0.012989,0.008442,0.109344,0.036938,0.022652,0.014975,0.000071,0.025393,0.808371,0.858586
0.016802,0.066087,0.083656,0.025791,0.021472,0.158549,0.01679,0.032258,0.002503,0.000213,0.606248,0.829423,0.929293
0,0,0.004037,0.001694,0.001652,0.00994,0.003358,0.00007,0.002125,0,0.598981,0.829134,1
0.004336,0,0.229893,0.075866,0.066801,0.178926,0.050369,0.10064,0.10895,0.000638,0.416138,0.74538,0.868687
0.001084,0.001739,0.292797,0.051393,0.024959,0.019881,0.01679,0.153396,0.118269,0.001063,0.31014,0.594355,0.909091
0.005962,0.006957,0.297561,0.062877,0.054505,0.198807,0.036938,0.068961,0.077773,0.000071,0.03433,0.481173,0.808081
0.030352,0.107826,0.146964,0.026355,0.016517,0.089463,0.060443,0.126348,0.05355,0.000283,0.041597,0.483814,0.828283
0.001084,0.003478,0.106185,0.023908,0.017251,0.00994,0.003358,0.083177,0.008608,0.000354,0.023973,0.436476,0.959596
0.012466,0.055652,0.262112,0.042922,0.019086,0.059642,0.050369,0.061338,0.069583,0.001559,0.331022,0.715954,0.888889
0,0,0.022933,0.029367,0.009176,0.00994,0.003358,0.083381,0.11421,0.000496,0.105914,0.778209,0.979798
0.009214,0.015652,0.075824,0.022214,0.011378,0.049702,0.023506,0.270607,0.103824,0,0.021216,0.468656,0.767677
0.000542,0,0.068556,0.020896,0.006974,0.029821,0.010074,0.08529,0.014522,0.000354,0.519963,0.822644,0.969697
0.001626,0.005217,0.147933,0.079255,0.030464,0.039761,0.013432,0.260691,0.468431,0.000283,0.048446,0.466184,0.888889
0.003794,0,0.294654,0.094503,0.178198,0.28827,0.026864,0.092219,0.047572,0.001134,0.077347,0.760098,0.79798
0.000542,0.001739,0.060401,0.015813,0.00679,0.00994,0.003358,0.018389,0.045135,0,0.555797,0.810831,0.969697
0.02168,0.093913,0.059351,0.004142,0.004772,0.00994,0.003358,0.000213,0.005529,0.000354,0.388573,0.770197,0.969697
0,0,0.009125,0.004518,0.002753,0.00994,0.003358,0.033494,0.002012,0.000213,0.605329,0.829333,0.979798
0.002168,0,0.227067,0.045557,0.036337,0.188867,0.023506,0.05547,0.011229,0.000709,0.01019,0.64094,0.868687
0.003252,0.006957,0.198966,0.03445,0.020371,0.029821,0.010074,0.042357,0.016153,0.000142,0.087872,0.434959,0.909091
0.008672,0.024348,0.163275,0.020708,0.014131,0.039761,0.020148,0.010532,0.0223,0.000709,0.061644,0.441628,0.909091
0.01626,0.022609,0.311127,0.115023,0.093045,0.208748,0.020148,0.129244,0.146743,0.000071,0.01136,0.482452,0.79798
0.004878,0.003478,0.294008,0.051581,0.040191,0.059642,0.067159,0.076996,0.200453,0.000638,0.028984,0.439047,0.79798
0.020054,0.006957,0.27374,0.071913,0.020187,0.20825,0.100571,0.113901,0.007149,0.001134,0.059389,0.581906,0.808081
0.03252,0.123478,0.204942,0.053276,0.053771,0.049702,0.053727,0.012872,0.019921,0,0.037588,0.491029,0.888889
0.003252,0.005217,0.072351,0.01073,0.009727,0.00994,0.003358,0.053219,0.041864,0.000425,0.144838,0.680155,0.939394
0.00542,0.017391,0.251534,0.040663,0.017067,0.029821,0.010074,0.037532,0.024966,0.000177,0.01303,0.44437,0.89899
0.00813,0.001739,0.04312,0.010166,0.002202,0.059642,0.023506,0.143053,0.002075,0.000425,0.580521,0.836454,0.939394
0.004336,0.005217,0.322271,0.072477,0.069003,0.059642,0.026864,0.102724,0.041322,0.000638,0.166973,0.691483,0.848485
0.036856,0.133913,0.215197,0.039721,0.02661,0.179423,0.104265,0.071277,0.030985,0.000602,0.022469,0.470734,0.828283
0.001626,0,0.038275,0.008848,0.011195,0.129225,0.053727,0.024807,0.142501,0.000283,0.017959,0.805559,0.818182
0.071545,0.182609,0.153262,0.032191,0.024225,0.019881,0.006716,0.037616,0.04473,0,0.061727,0.449717,0.919192
0.00542,0.010435,0.253553,0.103351,0.095247,0.118787,0.073539,0.185753,0.210707,0.000142,0.068076,0.501968,0.818182
0.001084,0,0.241441,0.032756,0.020004,0.00994,0.003358,0.208449,0.018629,0.000425,0.011945,0.481742,0.919192
0.002168,0.005217,0.143572,0.025979,0.015783,0.00994,0.003358,0.018936,0.031801,0.000496,0.170565,0.766928,0.959596
0,0,0.215036,0.026732,0.039273,0.00994,0.003358,0.037503,0.052701,0.000354,0.014283,0.761734,0.909091
0.034688,0.142609,0.188388,0.084714,0.033951,0.059642,0.013432,0.231256,0.31438,0.000354,0.041764,0.464085,0.888889
0,0,0.085029,0.042169,0.013948,0.019881,0.030222,0.089975,0.119311,0.001347,0.210575,0.714368,0.959596
0.002168,0,0.359577,0.036709,0.02606,0.00994,0.003358,0.024193,0.022298,0.000638,0.085282,0.789187,0.828283
0.043902,0.078261,0.110627,0.032756,0.035236,0.039761,0.03358,0.043746,0.048193,0.118356,0.002923,0.000004,0
0.000542,0,0.181848,0.052711,0.0323,0.00994,0.003358,0.060935,0.051913,0.000177,0.006432,0.443049,0.878788
0.002168,0.003478,0.186693,0.108245,0.029914,0.109344,0.063633,0.40725,0.15393,0.000106,0.009021,0.495382,0.808081
0.014092,0.067826,0.130249,0.025038,0.019637,0.00994,0.003358,0.06453,0.02568,0,0.014534,0.453156,0.919192
0.006504,0.003478,0.214309,0.067771,0.045696,0.308151,0.080591,0.122877,0.026687,0.000283,0.037003,0.500298,0.767677
0.001626,0.001739,0.158511,0.048193,0.042944,0.069583,0.023506,0.130814,0.214347,0.000567,0.006849,0.612833,0.878788
0.001626,0.001739,0.286902,0.047063,0.033034,0.089463,0.063633,0.142633,0.088059,0.00078,0.008687,0.44111,0.808081
0.004336,0.010435,0.179829,0.037651,0.015232,0.019881,0.01679,0.05397,0.028986,0.001559,0.235048,0.706433,0.89899
0.016802,0.046957,0.020753,0.013931,0.010094,0.00994,0.003358,0.163057,0.158656,0.00085,0.34447,0.813139,0.929293
0.003794,0.003478,0.324935,0.040663,0.026977,0.069583,0.023506,0.006137,0.00463,0.000638,0.103742,0.679056,0.858586
0,0,0.305798,0.036333,0.027344,0.029821,0.046844,0.051588,0.034587,0.000602,0.007601,0.438641,0.888889
0.004878,0.015652,0.022125,0.021837,0.006607,0.00994,0.003358,0.143108,0.062827,0.000354,0.11151,0.778281,0.959596
0.003794,0.003478,0.163033,0.033321,0.02918,0.039761,0.036938,0.035401,0.132539,0.00078,0.029318,0.680801,0.909091
0.009756,0.001739,0.447755,0.211596,0.198569,0.258449,0.067159,0.382842,0.49966,0.000248,0.057217,0.470335,0.727273
0.011382,0.050435,0.12605,0.004142,0.007708,0.00994,0.003358,0.007449,0.01488,0.000496,0.005763,0.784585,0.939394
0.003794,0.003478,0.096576,0.015625,0.018536,0.029821,0.036938,0.048024,0.048741,0,0.035667,0.474937,0.959596
0.001084,0.001739,0.003957,0.000377,0.000367,0.00994,0.003358,0.002664,0.00121,0.000071,0.641831,0.838218,1
0.007588,0.013913,0.421835,0.035203,0.022206,0.177932,0.200302,0.01823,0.019238,0.00085,0.078684,0.682277,0.757576
0.000542,0,0.374596,0.047063,0.029547,0.039761,0.050369,0.004499,0.025125,0.000106,0.056047,0.497823,0.868687
0.017886,0.048696,0.435643,0.081514,0.045146,0.168986,0.070517,0.1565,0.038413,0.000354,0.012446,0.505893,0.727273
0.00271,0.003478,0.301357,0.035392,0.033401,0.039761,0.033412,0.005029,0.053036,0.000354,0.031824,0.474745,0.878788
0.000542,0.001739,0.028182,0.002824,0.001835,0.00994,0.003358,0.003124,0.002485,0,0.744487,0.83494,1
0.047696,0.18087,0.463501,0.087914,0.079648,0.417495,0.268637,0.095522,0.109935,0,0.008186,0.486277,0.626263
0.00271,0.001739,0.191537,0.040098,0.026794,0.069583,0.050369,0.109452,0.116077,0.000992,0.03291,0.61679,0.848485
0,0,0.069041,0.016566,0.007891,0.00994,0.003358,0.121556,0.008958,0.000354,0.051036,0.783599,0.858586
0.00813,0.02087,0.125565,0.01939,0.013213,0.059642,0.01679,0.024677,0.016783,0.001417,0.015787,0.472225,0.89899
0.006504,0.005217,0.221899,0.028803,0.02294,0.079523,0.050369,0.049952,0.063916,0.000425,0.245072,0.689837,0.89899
0,0,0.125,0.006965,0.004037,0.00994,0.003358,0.003548,0.005869,0.000354,0.083111,0.785905,0.929293
0.002168,0.005217,0.22844,0.026732,0.022022,0.029821,0.057085,0.007162,0.020431,0.000354,0.026813,0.443362,0.919192
0.00271,0.001739,0.149871,0.037839,0.021655,0.019881,0.01679,0.076353,0.011876,0.000992,0.009773,0.484076,0.919192
0.003794,0,0.161337,0.04311,0.026977,0.35835,0.063969,0.052431,0.01545,0,0.021968,0.45584,0.818182
0.003252,0.006957,0.147206,0.011295,0.014315,0.049702,0.013432,0.026491,0.043589,0.000886,0.009188,0.50318,0.909091
0.00813,0.017391,0.296512,0.064006,0.029547,0.119284,0.053895,0.121414,0.041557,0.001488,0.008353,0.447891,0.858586
0.009756,0.01913,0.319687,0.051581,0.024408,0.149105,0.077233,0.126759,0.029875,0,0.036251,0.452462,0.818182
0,0,0.010336,0.000941,0.00312,0.019881,0.006716,0.00112,0.03179,0,0.567992,0.828151,0.979798
0.02439,0,0.279877,0.039721,0.022756,0.576541,0.587643,0.078029,0.022043,0.000425,0.006682,0.486538,0.636364
0.003794,0.006957,0.26074,0.137048,0.018903,0.049702,0.023506,0.953164,0.022314,0.000248,0.199465,0.485161,0.858586
0.001626,0.003478,0.034561,0.003012,0.003854,0.00994,0.003358,0.00431,0.006352,0,0.05847,0.462201,0.969697
0.025474,0.111304,0.10134,0.080196,0.048816,0.029821,0.010074,0.381969,0.527451,0.018072,0.001671,0.00001,0
0.011382,0.034783,0.148579,0.042545,0.026794,0.00994,0.003358,0.006687,0.015766,0,0.037838,0.477293,0.919192
0.019512,0.095652,0.321059,0.028238,0.023858,0.00994,0.003358,0.003116,0.002638,0.000425,0.061727,0.64543,0.949495
0,0,0.020833,0.010542,0.006607,0.019881,0.010074,0.015154,0.006024,0.000071,0.054711,0.781715,0.969697
0.000542,0,0.02697,0.009036,0.003303,0.00994,0.003358,0.012555,0.008248,0.000709,0.006432,0.763083,0.979798
0.028726,0.123478,0.330426,0.085655,0.069187,0.208748,0.047011,0.073388,0.034964,0.000213,0.015453,0.438887,0.727273
0.000542,0.001739,0.039648,0.028614,0.00624,0.029821,0.01679,0.18842,0.073452,0.000709,0.497077,0.818475,0.919192
0.005962,0.003478,0.19186,0.048758,0.025693,0.069583,0.047011,0.196257,0.009569,0.000177,0.033829,0.504615,0.868687
0.00813,0.026087,0.025032,0.03445,0.010094,0.00994,0.003358,0.12748,0.171555,0.000496,0.440862,0.813926,0.979798
0.001084,0.001739,0.034964,0.015625,0.010644,0.019881,0.006716,0.000861,0.008543,0.000425,0.051119,0.767536,0.969697
0.001084,0.001739,0.082041,0.022214,0.01303,0.039761,0.040296,0.089305,0.012641,0.000354,0.178333,0.44912,0.919192
0.007588,0.005217,0.277213,0.066642,0.046247,0.168986,0.020148,0.181499,0.081229,0.000354,0.0142,0.480438,0.818182
0.001626,0.003478,0.205669,0.029367,0.018903,0.059642,0.03358,0.043589,0.014748,0.000354,0.040678,0.453882,0.919192
0.009214,0.003478,0.202277,0.038027,0.019453,0.029821,0.030222,0.221676,0.011583,0.000283,0.046191,0.492096,0.878788
0.00271,0.003478,0.33947,0.067395,0.038723,0.029821,0.010074,0.077284,0.049539,0.000213,0.009606,0.475297,0.858586
0,0,0.15084,0.047063,0.023124,0.029821,0.043821,0.089268,0.01984,0.000425,0.020381,0.492877,0.919192
0.029268,0.12,0.130087,0.025791,0.017985,0.039761,0.020148,0.069469,0.018608,0.210135,0.002756,0.000004,0
0.000542,0,0.183463,0.021084,0.020554,0.00994,0.003358,0.00662,0.061209,0.000496,0.048864,0.733335,0.959596
0.013008,0.012174,0.091974,0.031438,0.017985,0.039761,0.043486,0.122051,0.062562,0.063785,0.002673,0.000005,0
0.004336,0.010435,0.118136,0.021649,0.021288,0.019881,0.006716,0.009933,0.03708,0.001347,0.025476,0.491256,0.939394
0.01084,0.003478,0.251938,0.035956,0.01982,0.238569,0.087307,0.106805,0.046575,0.000992,0.119947,0.690003,0.838384
0.027642,0.123478,0.138485,0.029179,0.020371,0.029821,0.010074,0.030927,0.051414,0.000177,0.020631,0.441026,0.929293
0.022222,0.106087,0.068395,0.017884,0.013764,0.079523,0.077233,0.019287,0.015708,0.001772,0.043268,0.470876,0.919192
0.007588,0.02087,0.314519,0.041227,0.024775,0.019881,0.006716,0.058871,0.048699,0.001276,0.013615,0.596205,0.89899
0.000542,0,0.024629,0.005836,0.004955,0.029821,0.01679,0.028571,0.004744,0.000142,0.331524,0.793452,0.909091
0.015718,0.010435,0.182978,0.026355,0.021288,0.099404,0.053559,0.043248,0.02138,0,0.050785,0.454191,0.89899
0.01897,0.088696,0.31686,0.035203,0.027161,0.00994,0.003358,0.021144,0.017645,0.000177,0.082108,0.482097,0.89899
0.001084,0,0.281815,0.041604,0.021472,0.019881,0.006716,0.098008,0.118285,0.000992,0.344554,0.599499,0.919192
0.006504,0,0.390988,0.107869,0.089558,0.467197,0.073875,0.130208,0.022595,0.000425,0.077598,0.471137,0.69697
0.000542,0,0.182574,0.039533,0.028996,0.029821,0.043486,0.036105,0.068021,0.000177,0.019211,0.491375,0.868687
0.001084,0,0.117733,0.023908,0.023858,0.00994,0.003358,0.016253,0.039758,0.000354,0.511193,0.770026,0.969697
0.014092,0.012174,0.288437,0.048193,0.023858,0.079523,0.057085,0.080041,0.079033,0.001843,0.009105,0.684946,0.838384
0.009756,0,0.417232,0.127071,0.095614,0.397614,0.036938,0.13967,0.083121,0.001843,0.014701,0.688499,0.737374
0.009756,0.024348,0.104651,0.017131,0.012479,0.039761,0.013432,0.111335,0.023791,0.00085,0.046609,0.675316,0.939394
0,0,0.106266,0.01619,0.008442,0.00994,0.003358,0.084814,0.007869,0,0.178416,0.449988,0.959596
0,0,0.005895,0.001883,0.004221,0.00994,0.003358,0.004114,0.018871,0,0.220765,0.789775,0.979798
0,0,0.055959,0.004142,0.004404,0.00994,0.003358,0.001566,0.029552,0,0.563314,0.826228,0.989899
0,0,0.101744,0.044992,0.018719,0.00994,0.003358,0.010906,0.215309,0.000425,0.472603,0.81025,0.939394
0.026016,0.118261,0.256298,0.024096,0.021655,0.019881,0.006716,0.013282,0.012292,0,0.033912,0.503538,0.89899
0,0,0.006056,0.000941,0.003303,0.00994,0.003358,0.000707,0.004755,0,0.64133,0.838553,0.979798
0.001084,0.001739,0.207203,0.025791,0.015966,0.00994,0.003358,0.120306,0.009875,0.000709,0.05304,0.783653,0.818182
0.00542,0,0.233689,0.08302,0.069003,0.447316,0.047011,0.108185,0.004756,0.00085,0.718677,0.831699,0.79798
0.020054,0.064348,0.243702,0.048946,0.034135,0.029821,0.030222,0.008485,0.073941,0.000638,0.025476,0.456987,0.919192
0.004878,0,0.159076,0.058358,0.045696,0.219185,0.050537,0.062612,0.021612,0.000425,0.041346,0.456836,0.828283
0,0,0.202035,0.052711,0.029363,0.00994,0.003358,0.032591,0.045545,0.001488,0.249916,0.714048,0.929293
0.002168,0,0.069767,0.023343,0.020738,0.039761,0.067159,0.022383,0.021409,0.000425,0.168393,0.772173,0.939394
0.017886,0.073043,0.233043,0.033321,0.024408,0.019881,0.006716,0.0164,0.037955,0,0.045356,0.480214,0.888889
0.062873,0.090435,0.10562,0.035956,0.024775,0.178926,0.104097,0.06524,0.059224,0,0.021383,0.438106,0.848485
0.00271,0.005217,0.059189,0.00866,0.004221,0.049702,0.020148,0.046701,0.010827,0.000142,0.554962,0.820349,0.939394
0.004336,0,0.136789,0.067959,0.053771,0.00994,0.003358,0.20419,0.126716,0.000071,0.006265,0.465601,0.89899
0.004878,0.001739,0.215924,0.072477,0.03964,0.099404,0.066991,0.221969,0.028691,0.000638,0.227865,0.772195,0.868687
0.011924,0,0.169574,0.046687,0.02918,0.238569,0.070517,0.057585,0.055183,0.000567,0.007935,0.473035,0.767677
0.002168,0,0.219073,0.045557,0.027528,0.019881,0.006716,0.115958,0.065213,0.00078,0.047528,0.483184,0.929293
0.001084,0.003478,0.108043,0.024096,0.01982,0.019881,0.006716,0.003824,0.013414,0.00078,0.083445,0.504078,0.939394
0.001084,0,0.155927,0.042169,0.015416,0.00994,0.003358,0.025938,0.014771,0.00085,0.322586,0.764816,0.949495
0.004878,0.008696,0.142926,0.058735,0.034502,0.059642,0.013432,0.632444,0.808246,0.076187,0.00284,0.000004,0
0.020054,0.034783,0.373627,0.075866,0.054689,0.218191,0.036938,0.073565,0.068087,0.000921,0.292015,0.688418,0.818182
0.00542,0.001739,0.302164,0.090926,0.074876,0.387674,0.036938,0.146907,0.051726,0.000354,0.682509,0.818242,0.727273
0.003252,0.005217,0.110707,0.014684,0.013397,0.019881,0.013432,0.001397,0.025091,0.177534,0.003258,0.000002,0
0.028184,0.104348,0.101583,0.029932,0.015416,0.059642,0.03358,0.015929,0.017488,0.000213,0.025643,0.430819,0.888889
0.007046,0.01913,0.079377,0.014872,0.007157,0.029821,0.050369,0.009255,0.007739,0.000425,0.405363,0.745996,0.959596
0,0,0.249354,0.019202,0.011929,0.00994,0.003358,0.002509,0.010649,0.000283,0.112262,0.781905,0.89899
0.000542,0,0.049742,0.01619,0.012846,0.029821,0.010074,0.013886,0.00597,0.000071,0.05162,0.784815,0.909091
0.011924,0.013913,0.526567,0.036898,0.01982,0.188867,0.157824,0.110601,0.004552,0.001701,0.063983,0.681802,0.737374
0,0,0.106751,0.007154,0.008809,0.00994,0.003358,0.004817,0.010093,0,0.042683,0.781385,0.979798
0.002168,0,0.23062,0.049322,0.034869,0.139662,0.013432,0.13951,0.014902,0.000354,0.017457,0.476221,0.868687
0.00542,0.015652,0.099322,0.014119,0.012296,0.049702,0.010074,0.005091,0.013576,0.000283,0.007935,0.472267,0.949495
0.021138,0.097391,0.076227,0.006589,0.006056,0.00994,0.003358,0.00165,0.007106,0.131467,0.003341,0.000001,0
0.007046,0.015652,0.148337,0.040851,0.030648,0.18837,0.184352,0.208256,0.017726,0.000177,0.005346,0.492149,0.79798
