@relation kin8nm-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute theta4 numeric
@attribute theta5 numeric
@attribute theta6 numeric
@attribute theta7 numeric
@attribute theta8 numeric
@attribute y numeric

@data
0.517963,0.193407,0.297845,0.649569,0.874232,0.451222,0.7784,0.245397,0.490932
0.762623,0.953375,0.26184,0.067939,0.38817,0.803302,0.614246,0.287319,0.592793
0.453123,0.696594,0.161164,0.121185,0.995947,0.812584,0.049046,0.320624,0.832052
0.073325,0.318292,0.202071,0.699316,0.830288,0.782036,0.018782,0.64686,0.918159
0.282759,0.716842,0.685238,0.86362,0.898469,0.478987,0.452327,0.415853,0.400464
0.979155,0.600476,0.785999,0.320181,0.693863,0.330644,0.052585,0.903563,0.140707
0.449467,0.999896,0.182082,0.033732,0.246689,0.7186,0.492264,0.459821,0.539669
0.639694,0.511814,0.746872,0.406754,0.377826,0.555984,0.178934,0.299047,0.435273
0.549415,0.980285,0.606132,0.543377,0.1718,0.119968,0.745809,0.281342,0.388552
0.332139,0.933585,0.33667,0.945185,0.847203,0.727801,0.920373,0.953309,0.420362
0.840203,0.115431,0.762702,0.693718,0.156568,0.157096,0.422156,0.880567,0.426576
0.252056,0.508818,0.656507,0.810701,0.872706,0.591752,0.031251,0.259436,0.554114
0.994426,0.619659,0.929086,0.238022,0.732687,0.123292,0.992771,0.053622,0.317362
0.088799,0.387429,0.890335,0.67762,0.682593,0.577096,0.044112,0.651251,0.524162
0.330254,0.613767,0.647475,0.341299,0.846472,0.864191,0.103929,0.159241,0.611284
0.167205,0.369464,0.141584,0.832217,0.863459,0.92886,0.321073,0.398134,0.821168
0.005699,0.695771,0.147287,0.717834,0.33884,0.562707,0.365723,0.339054,0.428411
0.768936,0.485519,0.988507,0.982275,0.984534,0.090447,0.692906,0.151774,0.389924
0.561496,0.069296,0.534436,0.844225,0.032958,0.68991,0.899552,0.002814,0.546899
0.360509,0.17328,0.417657,0.47664,0.568717,0.474111,0.53286,0.375994,0.82376
0.631251,0.696352,0.827707,0.686306,0.130008,0.410021,0.377961,0.518424,0.420714
0.655023,0.263125,0.123308,0.285675,0.525431,0.490226,0.346551,0.468784,0.74268
0.166368,0.595746,0.991991,0.303932,0.697995,0.191099,0.515445,0.831998,0.466479
0.934033,0.503221,0.068975,0.021495,0.675818,0.940285,0.718732,0.597953,0.611676
0.141187,0.561856,0.871262,0.821996,0.984083,0.53428,0.902188,0.076225,0.163031
0.748256,0.962691,0.106343,0.012862,0.460349,0.424475,0.83051,0.231829,0.581921
0.009787,0.248463,0.881578,0.774453,0.972632,0.36218,0.30958,0.426529,0.532241
0.466044,0.189035,0.477349,0.245411,0.021137,0.627124,0.228004,0.203798,0.384884
0.227566,0.472197,0.010519,0.81806,0.913525,0.480116,0.360016,0.693401,0.877853
0.416879,0.189775,0.471465,0.876376,0.708886,0.302093,0.789787,0.021809,0.285739
0.961753,0.907887,0.116915,0.6434,0.708395,0.973244,0.968937,0.374609,0.382836
0.996519,0.237484,0.557382,0.425424,0.460182,0.347965,0.522295,0.258682,0.613103
0.268248,0.695334,0.045921,0.208821,0.179842,0.761858,0.834904,0.396945,0.708992
0.109488,0.154046,0.422896,0.074199,0.997682,0.420206,0.132661,0.372368,0.605086
0.023198,0.467831,0.872392,0.287533,0.999599,0.640114,0.146886,0.63166,0.449432
0.844955,0.820502,0.092394,0.51978,0.206309,0.764415,0.189394,0.14889,0.262525
0.107849,0.68147,0.454111,0.488108,0.776775,0.388226,0.527934,0.573083,0.751964
0.476524,0.160264,0.473304,0.362409,0.596862,0.274518,0.605708,0.414584,0.795637
0.345857,0.950471,0.034755,0.492916,0.108297,0.635692,0.57077,0.603137,0.216445
0.38718,0.894478,0.774859,0.145801,0.664133,0.455173,0.446291,0.136122,0.605038
0.847716,0.891979,0.958752,0.280542,0.625176,0.183415,0.607434,0.143276,0.456804
0.517333,0.902962,0.468209,0.057254,0.936248,0.821106,0.576195,0.292859,0.609949
0.170269,0.461893,0.39351,0.596364,0.579937,0.972496,0.616018,0.368882,0.3165
0.500662,0.015908,0.008162,0.171173,0.694578,0.776381,0.826131,0.091155,0.462511
0.007393,0.952705,0.846196,0.559262,0.250963,0.455784,0.709887,0.961807,0.365389
0.231759,0.43024,0.850239,0.818187,0.194168,0.456645,0.266052,0.592667,0.513849
0.874059,0.068417,0.786462,0.011991,0.749571,0.92567,0.750959,0.307933,0.46372
0.240206,0.409331,0.95419,0.147135,0.427106,0.964593,0.467676,0.516778,0.308692
0.844544,0.682824,0.794306,0.696423,0.331743,0.992349,0.976305,0.828888,0.270995
0.216339,0.914781,0.783007,0.25094,0.727701,0.378446,0.350021,0.376778,0.604972
0.745656,0.09949,0.895362,0.712259,0.894124,0.948307,0.829765,0.682967,0.256603
0.323791,0.608653,0.128217,0.314921,0.678079,0.335335,0.778195,0.789421,0.797549
0.554876,0.413346,0.48503,0.654218,0.976871,0.552122,0.157762,0.564435,0.702135
0.123993,0.163859,0.102659,0.173334,0.259819,0.229845,0.96349,0.17988,0.694362
0.786872,0.370848,0.964937,0.86189,0.029311,0.988054,0.995632,0.002762,0.355483
0.986477,0.956567,0.415538,0.269839,0.281931,0.197616,0.12532,0.502035,0.493975
0.495359,0.340261,0.203524,0.231808,0.624055,0.444911,0.79549,0.246494,0.70377
0.878,0.914276,0.103859,0.280309,0.101525,0.749263,0.795174,0.710985,0.421719
0.467562,0.606355,0.130318,0.13375,0.868996,0.79228,0.48876,0.32622,0.710144
0.736214,0.800975,0.812029,0.809413,0.394759,0.601279,0.289918,0.620129,0.4296
0.634394,0.517709,0.632322,0.599994,0.730881,0.210897,0.814278,0.495664,0.478317
0.478033,0.040686,0.492446,0.157681,0.338549,0.616719,0.520992,0.242053,0.691236
0.709878,0.364808,0.727037,0.881216,0.111095,0.657899,0.940877,0.135858,0.360304
0.049406,0.447523,0.270448,0.955122,0.688492,0.594962,0.985042,0.702287,0.531373
0.288847,0.522759,0.837518,0.646225,0.97992,0.061597,0.170603,0.255748,0.507605
0.293559,0.923531,0.000764,0.878898,0.489949,0.913146,0.746267,0.126374,0.62262
0.478452,0.146704,0.5256,0.018089,0.423727,0.515985,0.631538,0.434807,0.6366
0.752182,0.070241,0.920862,0.60024,0.534957,0.013343,0.631775,0.217831,0.384147
0.987387,0.06318,0.67387,0.286419,0.793072,0.103103,0.621211,0.349032,0.53446
0.803086,0.393746,0.744495,0.799792,0.465535,0.337985,0.087879,0.723779,0.462469
0.479329,0.77124,0.667367,0.964375,0.136439,0.068913,0.611703,0.184019,0.341278
0.49572,0.793206,0.455391,0.102023,0.596069,0.850443,0.305858,0.514813,0.717044
0.95036,0.956444,0.976206,0.776217,0.7971,0.930637,0.675808,0.832151,0.254412
0.532783,0.273671,0.792346,0.871715,0.168638,0.418957,0.588313,0.171102,0.252819
0.816025,0.835159,0.841541,0.328801,0.714274,0.653998,0.25207,0.595203,0.558616
0.933373,0.99864,0.60969,0.863905,0.242847,0.052239,0.789514,0.885594,0.546444
0.053235,0.399008,0.125306,0.108294,0.808924,0.674224,0.377258,0.680407,0.978159
0.639198,0.197575,0.568365,0.115623,0.874429,0.915971,0.538136,0.792799,0.634542
0.214424,0.991776,0.620802,0.254029,0.685724,0.000809,0.037554,0.290654,0.138495
0.56085,0.045692,0.867146,0.611413,0.469859,0.498534,0.897418,0.326839,0.146972
0.506121,0.503579,0.932315,0.006231,0.798712,0.785828,0.665809,0.028269,0.221079
0.741345,0.589618,0.171094,0.361712,0.251735,0.200672,0.557131,0.861913,0.497807
0.878082,0.525554,0.07702,0.800987,0.177784,0.79417,0.251322,0.984833,0.447153
0.839802,0.889195,0.082356,0.029456,0.415478,0.359454,0.216969,0.29243,0.521672
0.519669,0.099533,0.761796,0.577267,0.921256,0.824659,0.917552,0.161589,0.382833
0.42673,0.3397,0.423287,0.324415,0.637331,0.673402,0.013963,0.836466,0.544708
0.522967,0.489681,0.435903,0.169991,0.198288,0.095592,0.458086,0.643666,0.367449
0.855159,0.012598,0.469216,0.693089,0.987967,0.129185,0.820815,0.776626,0.775439
0.601503,0.338319,0.323931,0.242692,0.720509,0.595964,0.373832,0.68017,0.755826
0.715528,0.276926,0.654552,0.130334,0.029738,0.90905,0.956628,0.819426,0.433393
0.002076,0.536831,0.08181,0.41186,0.466675,0.707374,0.67745,0.476523,0.730881
0.875909,0.398879,0.582706,0.323859,0.286602,0.933984,0.167512,0.794363,0.394834
0.326982,0.038376,0.643854,0.821345,0.121382,0.67103,0.816869,0.567263,0.114917
0.173578,0.557521,0.289811,0.069567,0.569822,0.243104,0.072641,0.664695,0.273445
0.114383,0.115779,0.248478,0.483624,0.710245,0.79448,0.532013,0.938613,0.891202
0.295381,0.353271,0.59722,0.036312,0.548299,0.580102,0.145559,0.069917,0.541863
0.092974,0.567556,0.562454,0.767278,0.001868,0.369208,0.905822,0.296994,0.050297
0.485722,0.751493,0.274141,0.693392,0.10415,0.714793,0.903006,0.806274,0.322668
0.927109,0.93821,0.888193,0.333495,0.978526,0.583507,0.574057,0.603216,0.499944
0.779832,0.828315,0.647233,0.726375,0.078692,0.580541,0.689417,0.456148,0.138774
0.671739,0.971531,0.073723,0.472178,0.149581,0.759161,0.265708,0.623942,0.253697
0.086115,0.805417,0.67194,0.723414,0.444533,0.114198,0.969415,0.529737,0.318493
0.222357,0.15846,0.299386,0.729628,0.187132,0.774507,0.557453,0.457999,0.392832
0.865345,0.633118,0.165896,0.137768,0.509088,0.960097,0.656597,0.696406,0.575427
0.79407,0.571472,0.720056,0.312804,0.048387,0.436598,0.738119,0.486945,0.262161
0.958899,0.575549,0.94415,0.095527,0.8595,0.070858,0.688452,0.820567,0.379123
0.032788,0.082208,0.072447,0.624553,0.797914,0.524237,0.058381,0.623114,0.837783
0.011265,0.170849,0.230111,0.773286,0.84752,0.676179,0.888525,0.628374,0.577782
0.316196,0.838568,0.931239,0.628934,0.4873,0.764773,0.231098,0.96142,0.428925
0.907923,0.293992,0.087542,0.37729,0.890968,0.405299,0.361662,0.098892,0.8384
0.346222,0.343046,0.916089,0.515087,0.62973,0.15677,0.442345,0.904795,0.463265
0.522202,0.730029,0.469758,0.636685,0.460426,0.11938,0.305719,0.137157,0.587215
0.004402,0.2159,0.436155,0.598559,0.267157,0.849691,0.338574,0.528549,0.498577
0.973381,0.961689,0.706677,0.044292,0.344396,0.290907,0.458622,0.522588,0.26044
0.422201,0.41819,0.091627,0.825953,0.367838,0.02255,0.834783,0.406079,0.409947
0.410391,0.568713,0.555353,0.488664,0.320418,0.814296,0.100524,0.765177,0.578908
0.92403,0.206613,0.940089,0.702433,0.40094,0.54795,0.097112,0.407156,0.274474
0.035949,0.885786,0.813607,0.24228,0.594003,0.11844,0.756352,0.859119,0.470519
0.136912,0.807281,0.153997,0.225679,0.065021,0.048806,0.103822,0.066214,0.62493
0.899826,0.484633,0.750485,0.302836,0.404761,0.992902,0.526969,0.114579,0.200017
0.258701,0.176952,0.329866,0.618143,0.814551,0.659694,0.380096,0.351582,0.916775
0.659896,0.413896,0.408814,0.080592,0.431715,0.769695,0.21757,0.551533,0.56726
0.045506,0.398227,0.206467,0.698863,0.772923,0.108398,0.025891,0.503123,0.514575
0.748986,0.070129,0.570978,0.244748,0.856074,0.322414,0.905872,0.517223,0.64674
0.286578,0.187374,0.533333,0.676601,0.241038,0.437999,0.736218,0.309412,0.325206
0.165091,0.548234,0.876523,0.232464,0.40977,0.621605,0.744695,0.350007,0.303238
0.471403,0.043162,0.520697,0.307947,0.981574,0.74949,0.209979,0.096993,0.688805
0.277109,0.988253,0.511916,0.481191,0.293661,0.608577,0.452029,0.021222,0.436636
0.026514,0.837739,0.934502,0.154337,0.755323,0.846818,0.033219,0.521489,0.514274
0.572448,0.354858,0.91926,0.688661,0.089986,0.011691,0.047156,0.94624,0.332433
0.429128,0.22854,0.764416,0.842294,0.950906,0.345885,0.261608,0.163831,0.478492
0.816737,0.382116,0.446741,0.03802,0.902962,0.814846,0.070109,0.488019,0.597901
0.895905,0.315747,0.598823,0.465754,0.191978,0.787199,0.980339,0.868055,0.302958
0.378595,0.939029,0.49625,0.79261,0.935375,0.239665,0.137558,0.131433,0.671911
0.573721,0.597313,0.654422,0.289885,0.903181,0.999594,0.437144,0.389062,0.386263
0.813262,0.849117,0.889286,0.022723,0.880492,0.10508,0.895241,0.992657,0.320271
0.488324,0.560393,0.008248,0.449942,0.590286,0.571551,0.087198,0.693484,0.657819
0.651801,0.380722,0.30161,0.134181,0.601815,0.687279,0.162055,0.408896,0.682747
0.013775,0.894358,0.538068,0.055985,0.34921,0.265814,0.098666,0.081212,0.288833
0.488004,0.876555,0.441394,0.277885,0.264968,0.376849,0.86973,0.988713,0.461859
0.282415,0.686355,0.743261,0.417072,0.56298,0.110237,0.377787,0.448461,0.538786
0.198855,0.246119,0.919153,0.888173,0.724157,0.213718,0.422121,0.530358,0.364002
0.900689,0.809949,0.966022,0.844098,0.344201,0.005335,0.447829,0.885921,0.372845
0.772944,0.331978,0.64149,0.342615,0.090259,0.543532,0.455978,0.172634,0.359163
0.908007,0.717477,0.563044,0.935392,0.530908,0.888186,0.400575,0.327532,0.198047
0.761307,0.28,0.199718,0.160454,0.73733,0.114207,0.360679,0.662113,0.269493
0.343512,0.20402,0.13644,0.465769,0.715818,0.928887,0.925305,0.576119,0.372607
0.980358,0.310252,0.695766,0.042714,0.20305,0.016594,0.301496,0.40345,0.196125
0.669112,0.604272,0.72002,0.315274,0.019793,0.729226,0.37559,0.608271,0.258725
0.935366,0.795057,0.336052,0.59279,0.328988,0.110119,0.498261,0.366456,0.500046
0.545043,0.062723,0.375553,0.126196,0.42899,0.226856,0.947972,0.339412,0.760537
0.872906,0.710336,0.230209,0.891145,0.98622,0.770315,0.218468,0.172178,0.649107
0.850006,0.25768,0.567868,0.779574,0.360982,0.531594,0.116137,0.657627,0.616451
0.002856,0.090954,0.26981,0.282204,0.090505,0.296355,0.466651,0.236351,0.403931
0.983575,0.151815,0.101018,0.978431,0.663252,0.561285,0.759289,0.380397,0.670787
0.735358,0.964372,0.385341,0.259266,0.821016,0.198,0.44757,0.469561,0.63547
0.256434,0.500424,0.72086,0.604446,0.081476,0.894172,0.105134,0.872357,0.488657
0.565913,0.558216,0.451707,0.957796,0.931433,0.701277,0.571102,0.386543,0.445581
0.593991,0.788495,0.061768,0.584424,0.65398,0.490251,0.027946,0.686964,0.625966
0.470978,0.782046,0.744956,0.57299,0.998399,0.61084,0.43715,0.916775,0.563771
0.138245,0.392145,0.404445,0.462155,0.033354,0.864929,0.002669,0.328498,0.433962
0.306928,0.86671,0.792005,0.333985,0.235512,0.336004,0.679563,0.87642,0.394239
0.155356,0.232693,0.108439,0.954389,0.542579,0.785983,0.690464,0.62106,0.601157
0.876726,0.163587,0.102173,0.332643,0.874337,0.808788,0.868883,0.128597,0.371056
0.050007,0.805504,0.803073,0.398969,0.143615,0.999823,0.157009,0.763503,0.408626
0.398223,0.623969,0.128551,0.741175,0.184818,0.965507,0.314917,0.300703,0.430768
0.443741,0.820888,0.103582,0.129361,0.615245,0.349358,0.909304,0.092229,0.562596
0.406758,0.156809,0.475403,0.075938,0.04027,0.167038,0.406762,0.00889,0.280687
0.879497,0.895477,0.292517,0.524109,0.450724,0.646423,0.347172,0.415045,0.584494
0.62453,0.681927,0.721214,0.211031,0.230099,0.75975,0.950425,0.337887,0.436302
0.697814,0.840625,0.401576,0.198203,0.579354,0.006563,0.44624,0.563233,0.411495
0.292348,0.848866,0.560628,0.682692,0.885598,0.170897,0.745065,0.995974,0.60735
0.12366,0.354501,0.601461,0.56294,0.389577,0.486344,0.427299,0.391319,0.628951
0.193503,0.236438,0.828864,0.621828,0.642564,0.947768,0.465545,0.885364,0.203978
0.954657,0.105357,0.559958,0.983865,0.155615,0.269183,0.168005,0.834767,0.616937
0.750527,0.212906,0.326511,0.569495,0.863788,0.994602,0.087912,0.096228,0.533411
0.177616,0.6385,0.018931,0.74262,0.871677,0.224165,0.153295,0.169312,0.750691
0.976667,0.017287,0.842239,0.406357,0.439964,0.547278,0.904719,0.531924,0.396395
0.6418,0.12723,0.352359,0.876628,0.415076,0.835043,0.36451,0.199446,0.277977
0.929233,0.7909,0.422654,0.874943,0.151585,0.152767,0.305255,0.601936,0.721133
0.478776,0.187531,0.7938,0.566776,0.133592,0.842461,0.539844,0.96608,0.319014
0.192407,0.1871,0.278719,0.071507,0.751597,0.794477,0.735833,0.35358,0.699441
0.534649,0.954642,0.830157,0.065072,0.466002,0.531074,0.28809,0.097157,0.494746
0.174605,0.990791,0.295444,0.951722,0.977657,0.548083,0.086264,0.767741,0.664175
0.359023,0.489193,0.913306,0.526177,0.464467,0.358575,0.462563,0.475187,0.452833
0.657802,0.812006,0.698246,0.959792,0.190869,0.057606,0.057939,0.362313,0.669462
0.859954,0.88704,0.409693,0.112194,0.314726,0.8594,0.461063,0.773643,0.492721
0.186381,0.885852,0.982879,0.642824,0.750699,0.417697,0.844865,0.602726,0.163012
0.257974,0.921029,0.940383,0.749988,0.386216,0.473852,0.531999,0.230795,0.133203
0.450963,0.101081,0.760573,0.198243,0.151216,0.044612,0.918262,0.064291,0.438969
0.779114,0.347947,0.874547,0.348995,0.930159,0.526605,0.943855,0.827371,0.253421
0.6033,0.079542,0.318565,0.136985,0.244536,0.454995,0.034646,0.891641,0.478098
0.923028,0.372712,0.491763,0.170456,0.196573,0.197376,0.035751,0.23852,0.319937
0.192212,0.276116,0.2519,0.501076,0.161053,0.419474,0.604555,0.797602,0.572236
0.271573,0.918588,0.118548,0.232407,0.24308,0.340137,0.187579,0.951946,0.580445
0.993116,0.070594,0.002407,0.336149,0.724597,0.239521,0.04092,0.99716,0.448576
0.076415,0.997569,0.132194,0.302435,0.729039,0.575119,0.464227,0.315341,0.785342
0.199616,0.395455,0.341656,0.886138,0.384888,0.644575,0.020142,0.919548,0.747139
0.682879,0.48435,0.553294,0.643113,0.845252,0.710927,0.301275,0.90667,0.565055
0.313875,0.421107,0.340066,0.601571,0.370122,0.635901,0.652084,0.632442,0.445155
0.899138,0.583113,0.829116,0.657118,0.692926,0.958844,0.896388,0.290022,0.186558
0.705713,0.200862,0.804877,0.888866,0.493157,0.389703,0.359356,0.727141,0.43776
0.049279,0.227176,0.44974,0.48174,0.331748,0.09947,0.703919,0.6431,0.745567
0.159471,0.454702,0.01161,0.375907,0.819717,0.290391,0.980478,0.279893,0.731495
0.018292,0.18153,0.79404,0.27123,0.252294,0.357782,0.473532,0.621823,0.533963
0.404805,0.347163,0.31042,0.613536,0.574235,0.725199,0.389227,0.94489,0.732789
0.058838,0.908018,0.600941,0.684043,0.867811,0.449538,0.660119,0.496766,0.477103
0.808488,0.432179,0.087923,0.258065,0.471484,0.504724,0.933539,0.749331,0.583045
0.263467,0.65342,0.31818,0.424401,0.113514,0.79359,0.666706,0.307471,0.422436
