@relation Folds5x2_pp-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ﻿AT numeric
@attribute V numeric
@attribute AP numeric
@attribute RH numeric
@attribute PE numeric

@data
0.779037,0.770641,0.328879,0.506971,0.202781
0.557224,0.739324,0.38827,0.789946,0.359735
0.466572,0.344306,0.596387,0.109249,0.556556
0.712465,0.711388,0.548379,0.286461,0.28543
0.402266,0.713523,0.522395,0.832708,0.449007
0.724079,0.68274,0.418213,0.532038,0.224901
0.410482,0.253915,0.29077,0.80496,0.580795
0.622946,0.413523,0.23608,0.559786,0.273245
0.180737,0.290036,0.585994,0.667828,0.860132
0.664873,0.753203,0.399901,0.576139,0.332185
0.556941,0.8,0.465974,0.841823,0.261457
0.813881,0.748932,0.531552,0.09933,0.146887
0.467139,0.33274,0.620144,0.505094,0.477616
0.68017,0.836833,0.260084,0.814611,0.168477
0.830312,0.778826,0.413759,0.415282,0.121192
0.4017,0.253915,0.326652,0.862735,0.591921
0.187252,0.301068,0.383816,0.834048,0.816556
0.620113,0.780605,0.466221,0.638338,0.223709
0.393768,0.262633,0.492947,0.963807,0.560795
0.773371,0.881495,0.257857,0.649464,0.161192
0.620963,0.63452,0.416234,0.712332,0.290861
0.749292,0.711388,0.536253,0.239142,0.275099
0.399717,0.281851,0.572878,0.640885,0.644371
0.894901,0.808541,0.402871,0.421582,0.161589
0.852975,0.764057,0.561495,0.214343,0.129934
0.709915,0.883096,0.237317,0.621314,0.232053
0.096884,0.274377,0.797822,0.900536,0.832583
0.394051,0.291815,0.746845,0.554826,0.555364
0.451275,0.454093,0.561,0.860858,0.496026
0.71728,0.608185,0.283098,0.639544,0.239205
0.68017,0.731851,0.502598,0.465952,0.186623
0.917564,0.76121,0.242762,0.409249,0.089934
0.490652,0.769573,0.439495,0.929759,0.376556
0.282153,0.279359,0.706756,0.684584,0.736689
0.239093,0.286477,0.637961,0.788874,0.781722
0.623513,0.419217,0.435288,0.253217,0.352185
0.801416,0.72758,0.408067,0.534182,0.195099
0.796317,0.789858,0.401633,0.557507,0.281325
0.788102,0.736477,0.623361,0.441019,0.172185
0.815864,0.921886,0.410789,0.638472,0.135099
0.407082,0.454093,0.52388,0.999062,0.461987
0.845609,0.863879,0.287058,0.570643,0.145695
0.774221,0.64306,0.414501,0.192895,0.231788
0.469972,0.330961,0.482801,0.700402,0.587682
0.398017,0.235943,0.587973,0.562332,0.56053
0.127479,0.297331,0.290027,0.699464,0.83457
0.611615,0.847509,0.410542,0.847989,0.241722
0.901133,0.921886,0.408067,0.511394,0.142649
0.143909,0.325445,0.667657,0.632842,0.844238
0.725212,0.79395,0.386538,0.535255,0.150728
0.695751,0.518505,0.534274,0.546247,0.417483
0.7017,0.605516,0.534521,0.540349,0.254305
0.380737,0.314235,0.473893,0.212735,0.622119
0.550425,0.290214,0.487751,0.317828,0.523841
0.656374,0.581673,0.465231,0.595308,0.356159
0.703116,0.695374,0.489235,0.477614,0.287947
0.483286,0.475445,0.305865,0.986997,0.388742
0.093768,0.274377,0.805741,0.956032,0.808212
0.829745,0.817794,0.376145,0.272252,0.228874
0.172805,0.259786,0.759218,0.842895,0.731921
0.372805,0.584342,0.658995,0.744906,0.508874
0.767989,0.63452,0.452858,0.409786,0.218543
0.598017,0.650178,0.504331,0.707239,0.341987
0.304249,0.241103,0.487256,0.668633,0.716424
0.214448,0.286121,0.549369,0.820912,0.817219
0.239943,0.286477,0.632269,0.799866,0.786755
0.807365,0.923132,0.374412,0.566756,0.19894
0.666572,0.813167,0.367483,0.897587,0.193377
0.811898,0.794662,0.414749,0.488874,0.204768
0.520397,0.554626,0.678297,0.690885,0.448742
0.552408,0.38452,0.524375,0.496113,0.470199
0.574788,0.880961,0.408562,0.807239,0.29894
0.517847,0.686477,0.691166,0.651475,0.386887
0.582153,0.59484,0.588963,0.643968,0.337748
0.215864,0.209609,0.498391,0.662601,0.706093
0.766289,0.425979,0.2732,0.365818,0.205166
0.607365,0.8,0.405593,0.817158,0.234437
0.591785,0.631317,0.649839,0.61555,0.242781
0.552125,0.605516,0.518189,0.790483,0.317219
0.513598,0.347687,0.386785,0.658579,0.519338
0.372805,0.325801,0.451373,0.828016,0.599735
0.34051,0.274377,0.790893,0.636997,0.511126
0.611331,0.816548,0.305122,0.913405,0.204238
0.557224,0.392705,0.346201,0.509115,0.383311
0.589802,0.588078,0.514724,0.868097,0.333377
0.515581,0.351068,0.527592,0.169303,0.446358
0.530028,0.327936,0.569414,0.570241,0.578411
0.333428,0.435409,0.396189,0.820912,0.603444
0.356091,0.346619,0.784459,0.752279,0.68
0.756941,0.791459,0.286315,0.569303,0.098808
0.34221,0.184164,0.581787,0.535255,0.63947
0.683286,0.782562,0.396437,0.722118,0.183046
0.454108,0.638968,0.673348,0.604826,0.454437
0.126629,0.279359,0.69463,0.876005,0.920927
0.179887,0.254093,0.453353,0.80429,0.814834
0.475921,0.753559,0.276664,0.789946,0.308742
0.408499,0.32669,0.42242,0.770107,0.498543
0.194051,0.27847,0.732987,0.978418,0.687417
0.501983,0.73274,0.515466,0.74933,0.409669
0.236827,0.268683,0.634744,0.571716,0.663179
0.132295,0.265302,0.437021,0.758177,0.879735
0.308215,0.273843,0.573125,0.768901,0.694305
0.622096,0.649644,0.418461,0.392359,0.337219
0.357507,0.322776,0.716902,0.77185,0.61351
0.749008,0.56637,0.37367,0.56756,0.221589
0.296034,0.259786,0.467706,0.717158,0.670331
0.360907,0.309253,0.851274,0.55067,0.496821
0.644759,0.473132,0.319475,0.596649,0.369404
0.239093,0.282918,0.360059,0.972118,0.738675
0.570822,0.463879,0.3561,0.863271,0.29947
0.226912,0.254093,0.44296,0.585255,0.763841
0.475071,0.342349,0.586983,0.302815,0.513907
0.531445,0.347687,0.383568,0.497721,0.475762
0.192635,0.279004,0.789903,0.938874,0.706755
0.231728,0.323132,0.743875,0.993432,0.70702
0.344476,0.474911,0.47414,0.801609,0.57457
0.423513,0.325801,0.454838,0.603083,0.558675
0.673371,0.385231,0.534769,0.508981,0.452053
0.439943,0.375801,0.353625,0.771984,0.421192
0.490652,0.738434,0.496412,0.612332,0.437748
0.309915,0.271886,0.681762,0.772252,0.618146
0.783286,0.425979,0.271962,0.382574,0.213377
0.390368,0.487367,0.777283,0.460724,0.511391
0.350992,0.314235,0.477357,0.422386,0.667682
0.346742,0.266726,0.461024,0.544906,0.732185
0.865156,0.935765,0.541203,0.473458,0.165033
0.555241,0.56121,0.349913,0.72185,0.280132
0.249292,0.216014,0.393714,0.999598,0.697219
0.490652,0.274555,0.286563,0.886595,0.497616
0.438244,0.33274,0.625093,0.554558,0.55351
0.650992,0.452313,0.39322,0.486863,0.331656
0.760623,0.439324,0.326404,0.297319,0.207682
0.314448,0.281139,0.470428,0.852949,0.694702
0.439377,0.326335,0.550359,0.483914,0.58596
0.479603,0.602313,0.628805,0.884584,0.390861
0.704816,0.800712,0.344717,0.572788,0.195762
0.296601,0.270285,0.317496,0.978552,0.691523
0.358357,0.345552,0.365009,0.555898,0.517219
0.813881,0.797331,0.161594,0.519571,0.190199
0.730028,0.731673,0.295224,0.344102,0.199735
0.860057,0.851423,0.211334,0.593834,0.137483
0.691785,0.614057,0.495917,0.550402,0.356291
0.279887,0.185053,0.646622,0.402681,0.681589
0.366006,0.257295,0.489483,0.740751,0.664238
0.298867,0.403559,0.4927,0.91193,0.637219
0.218414,0.27758,0.756991,0.816756,0.838808
0.722663,0.85516,0.474635,0.814209,0.165298
0.623229,0.850712,0.47612,0.81193,0.236424
0.173088,0.301068,0.387528,0.752279,0.854172
0.616714,0.595374,0.415491,0.748257,0.327815
0.537394,0.631317,0.637713,0.735121,0.338543
0.506232,0.763701,0.240782,0.616756,0.426623
0.348725,0.276868,0.73175,0.639678,0.523179
0.599433,0.659075,0.429597,0.665147,0.331656
0.143909,0.249288,0.67607,0.651609,0.882649
0.514731,0.554626,0.676318,0.643029,0.458675
0.563739,0.621174,0.565454,0.86059,0.277219
0.60085,0.602313,0.466469,0.772386,0.268079
0.733711,0.785587,0.414749,0.439946,0.195762
0.245042,0.216014,0.500619,0.686059,0.687417
0.718697,0.663701,0.420688,0.36555,0.290066
0.672805,0.439324,0.316258,0.586193,0.294437
0.506516,0.255516,0.212819,0.46622,0.480662
0.837394,0.91637,0.110121,0.501072,0.142649
0.350142,0.290214,0.507548,0.632842,0.677616
0.390652,0.326512,0.791636,0.734718,0.570596
0.665439,0.82242,0.427864,0.828418,0.181589
0.149575,0.249288,0.672606,0.63941,0.883974
0.12068,0.280783,0.858203,0.823324,0.793775
0.228045,0.231673,0.626825,0.801475,0.78543
0.366006,0.266726,0.451868,0.531367,0.659205
0.835977,0.871352,0.495669,0.146381,0.123311
0.122663,0.233808,0.482801,0.667426,0.913907
0.73966,0.780605,0.502846,0.252949,0.203444
0.674788,0.596085,0.543677,0.364477,0.312318
0.412465,0.20694,0.333581,0.865282,0.576159
0.750708,0.717972,0.538976,0.452145,0.357616
0.641076,0.791459,0.308092,0.734718,0.13298
0.269688,0.287189,0.512002,0.846381,0.725166
0.624929,0.686477,0.646622,0.250938,0.329139
0.547592,0.416726,0.680525,0.812869,0.398543
0.578754,0.617616,0.570156,0.491823,0.342781
0.602266,0.802669,0.389755,0.774933,0.248742
0.683853,0.601068,0.582282,0.555898,0.24106
0.414448,0.330961,0.513982,0.680295,0.639868
0.533994,0.2879,0.539223,0.725737,0.546887
0.373938,0.251957,0.60975,0.62252,0.632583
0.529745,0.685053,0.686959,0.66756,0.356556
0.631445,0.488968,0.336055,0.295174,0.323576
0.214448,0.268683,0.653304,0.673056,0.713113
0.727479,0.828826,0.380104,0.572788,0.106093
0.879037,0.76121,0.264786,0.245576,0.065166
0.53881,0.345552,0.386538,0.138606,0.534305
0.761473,0.745374,0.614204,0.255228,0.211258
0.213598,0.332206,0.448651,0.838472,0.741589
0.440793,0.282384,0.146003,0.574799,0.540662
0.369122,0.286833,0.603069,0.507507,0.530331
0.738527,0.775445,0.365999,0.67185,0.195762
0.453824,0.32669,0.389755,0.712601,0.445033
0.165156,0.301068,0.385301,0.787265,0.85457
0.675921,0.879359,0.429349,0.580563,0.267815
0.603116,0.461566,0.471171,0.730429,0.422649
0.71728,0.78452,0.519921,0.343164,0.188212
0.712181,0.808541,0.416729,0.769303,0.219073
0.4983,0.303915,0.502351,0.443298,0.523179
0.331161,0.348043,0.766642,0.825871,0.643576
0.287819,0.279004,0.829745,0.605764,0.643046
0.461756,0.597687,0.586983,0.852681,0.450728
0.631445,0.81726,0.372927,0.563003,0.298543
0.523513,0.710142,0.501856,0.66193,0.33457
0.566856,0.710142,0.518931,0.633378,0.359868
0.783003,0.89395,0.62435,0.336729,0.225828
0.256657,0.231673,0.691908,0.592761,0.751921
0.44051,0.252135,0.380846,0.580563,0.480927
0.656091,0.597687,0.601336,0.41126,0.261854
0.337394,0.351068,0.496412,0.829088,0.609007
0.69915,0.649466,0.486513,0.652547,0.264238
0.182436,0.282918,0.685474,0.888472,0.727285
0.311331,0.347687,0.363524,0.550134,0.618411
0.432578,0.262633,0.47711,0.749866,0.497351
0.838244,0.813167,0.384806,0.659651,0.173245
0.18272,0.344306,0.691908,0.579893,0.86
0.549858,0.601246,0.539223,0.457775,0.406623
0.688102,0.668149,0.483791,0.473861,0.341589
0.512748,0.459609,0.373917,0.86689,0.383709
0.36119,0.272776,0.55902,0.64571,0.649669
0.238244,0.291459,0.736451,0.777748,0.778146
0.773654,0.755694,0.375155,0.285523,0.161589
0.429462,0.245552,0.317001,0.584048,0.507682
0.690652,0.425979,0.267261,0.540483,0.263179
0.618697,0.724021,0.660975,0.705764,0.299868
0.785269,0.811032,0.354615,0.604826,0.161192
0.506516,0.556762,0.69166,0.624397,0.46106
0.903683,0.79395,0.499876,0.228686,0.155364
0.859207,0.884698,0.30834,0.326542,0.251126
0.778187,0.921886,0.408562,0.680161,0.170596
0.147309,0.221352,0.707251,0.499732,0.843576
0.811898,0.762989,0.412274,0.528418,0.101722
0.773938,0.401601,0.237812,0.31555,0.203311
0.284703,0.257829,0.497649,0.554424,0.768609
0.689802,0.480427,0.512992,0.441823,0.434702
0.247875,0.245018,0.428112,0.825201,0.567947
0.191785,0.27331,0.721356,0.830965,0.803974
0.352691,0.276868,0.722098,0.648794,0.531391
0.613881,0.859609,0.350903,0.843566,0.224238
0.105666,0.364947,0.390992,0.943029,0.765033
0.429745,0.331495,0.711705,0.745442,0.474305
0.80085,0.745374,0.611482,0.369035,0.182119
0.249858,0.253559,0.670874,0.62815,0.751391
0.808782,0.880961,0.397674,0.486729,0.199338
0.786119,0.801423,0.33655,0.769303,0.166755
0.513598,0.554626,0.682752,0.681903,0.444238
0.729178,0.704626,0.169265,0.426005,0.146623
0.839377,0.967616,0.347934,0.421314,0.151391
0.666856,0.871352,0.554318,0.700804,0.203974
0.065156,0.23274,0.569414,0.753753,0.897881
0.815297,0.795018,0.430339,0.335121,0.117483
0.346459,0.416904,0.611977,0.666086,0.58053
0.386969,0.347687,0.71022,0.753083,0.600662
0.194334,0.274199,0.468201,0.855764,0.78106
0.247025,0.216014,0.387528,0.996649,0.689536
0.175071,0.285053,0.719129,0.713271,0.891523
0.58017,0.349644,0.482801,0.348794,0.381722
0.205382,0.194662,0.550606,0.44437,0.756556
0.233428,0.209609,0.48874,0.675737,0.713907
0.51728,0.424377,0.481317,0.418767,0.450199
0.816997,0.829537,0.297699,0.507105,0.12702
0.356091,0.273488,0.608513,0.872386,0.565828
0.735127,0.829359,0.387033,0.82319,0.182517
0.421813,0.270463,0.647117,0.339678,0.669934
0.100283,0.181673,0.847068,0.740617,0.905828
0.276487,0.285053,0.71319,0.481635,0.710993
0.814731,0.848221,0.516209,0.64504,0.227285
0.401983,0.272242,0.574858,0.853485,0.488212
0.390652,0.279004,0.806484,0.521046,0.493113
0.575354,0.401601,0.312051,0.789678,0.306623
0.552975,0.588968,0.576095,0.726139,0.331258
0.618697,0.614947,0.428112,0.857507,0.218278
0.14136,0.249288,0.676813,0.639812,0.888344
0.836827,0.817794,0.324177,0.493164,0.187682
0.628329,0.760854,0.495669,0.604826,0.223576
0.700283,0.513167,0.495174,0.551877,0.260927
0.843626,0.664413,0.406088,0.329759,0.295629
0.630312,0.793238,0.311309,0.467828,0.220132
0.72153,0.347509,0.399159,0.326273,0.287152
0.61983,0.829359,0.414006,0.904424,0.243179
0.273371,0.244484,0.427617,0.999866,0.666093
0.589235,0.425979,0.262806,0.770241,0.284768
0.567422,0.351068,0.520911,0.275469,0.405563
0.209348,0.257295,0.502351,0.880563,0.829536
0.451558,0.425089,0.692155,0.510858,0.452318
0.16204,0.325445,0.635734,0.526676,0.78
0.423513,0.351068,0.529324,0.430965,0.508742
0.591501,0.707473,0.580549,0.622788,0.35298
0.286119,0.33968,0.705271,0.789946,0.612715
0.703116,0.642527,0.378372,0.582306,0.316556
0.139093,0.257829,0.468943,0.792225,0.911656
0.216147,0.331495,0.678545,0.97185,0.725166
0.467705,0.349466,0.736946,0.279088,0.677748
0.467422,0.653737,0.680277,0.716622,0.463311
0.701416,0.341815,0.367978,0.332842,0.334172
0.921246,0.777402,0.197971,0.165416,0.136424
0.369405,0.274733,0.804009,0.371716,0.682384
0.779603,0.702491,0.442217,0.372118,0.303179
0.197167,0.268683,0.662955,0.700804,0.725033
0.270255,0.241103,0.619649,0.776005,0.714702
0.554391,0.332562,0.316753,0.752011,0.337086
0.086969,0.265302,0.489235,0.656166,0.940795
0.703966,0.692349,0.493442,0.446649,0.233245
0.31813,0.351068,0.497649,0.832708,0.624901
0.783569,0.817794,0.37565,0.555496,0.223576
0.484419,0.56121,0.348676,0.784316,0.370596
0.652975,0.332562,0.316753,0.550804,0.356821
0.215581,0.285409,0.908439,0.829357,0.766358
0.309915,0.302135,0.625588,0.926408,0.598411
0.552691,0.420996,0.393962,0.807641,0.336291
0.635977,0.753203,0.385796,0.552011,0.22702
0.515581,0.32758,0.47612,0.535791,0.468874
0.553541,0.599288,0.479832,0.940349,0.338675
0.442493,0.671352,0.667657,0.900938,0.38543
0.73796,0.708541,0.494432,0.401743,0.211921
0.536261,0.612811,0.558525,0.681367,0.43351
0.734278,0.753203,0.360802,0.453887,0.151788
0.218697,0.286121,0.621628,0.730965,0.815497
0.756091,0.967616,0.342984,0.824799,0.169801
0.554674,0.479359,0.403613,0.726676,0.35245
0.360623,0.370463,0.554318,0.923861,0.56649
0.74221,0.711388,0.539223,0.285523,0.271656
0.813031,0.811032,0.365009,0.453887,0.14106
0.561473,0.631317,0.62534,0.696649,0.34
0.696317,0.816548,0.170997,0.852011,0.13351
0.340793,0.282918,0.69364,0.659249,0.55894
0.43796,0.323132,0.704776,0.685925,0.527417
0.568839,0.581673,0.455828,0.8063,0.284768
0.629178,0.698754,0.682999,0.396917,0.389404
0.852975,0.889146,0.220737,0.48807,0.21351
0.316147,0.435409,0.390992,0.88378,0.421325
0.398867,0.330961,0.52289,0.665952,0.623709
0.210765,0.282918,0.683494,0.880027,0.710066
0.4017,0.322776,0.704034,0.638874,0.535629
0.205382,0.254448,0.661965,0.689276,0.785033
0.358924,0.33274,0.639446,0.674531,0.625166
0.717847,0.602313,0.509775,0.350536,0.265033
0.56289,0.690214,0.697847,0.607507,0.451126
0.746459,0.642527,0.403366,0.495576,0.294305
0.921246,0.87153,0.219005,0.230429,0.205298
0.854674,0.688434,0.435536,0.434987,0.255629
0.379603,0.323843,0.495669,0.41622,0.619073
0.332861,0.302135,0.620144,0.915147,0.560795
0.241076,0.296441,0.133135,0.986059,0.687417
0.584986,0.589502,0.46053,0.602949,0.37351
0.778754,0.760142,0.453848,0.411126,0.183444
0.580453,0.341815,0.385796,0.563271,0.390464
0.569405,0.8,0.402871,0.871448,0.252053
0.258924,0.328114,0.735462,0.508043,0.701192
0.655807,0.760854,0.454838,0.59866,0.229934
0.116147,0.248577,0.427864,0.937936,0.943444
0.09745,0.261744,0.658005,0.564879,0.99298
0.556941,0.632918,0.335808,0.834718,0.297881
0.236544,0.248043,0.663697,0.745979,0.80106
0.438527,0.33274,0.577827,0.697051,0.544636
0.443343,0.264413,0.341747,0.89008,0.549404
0.276204,0.268149,0.806484,0.659383,0.917616
0.161473,0.27847,0.784954,0.963137,0.759603
0.432578,0.235231,0.557288,0.641555,0.546093
0.211331,0.296441,0.282108,0.931501,0.724106
0.552125,0.419217,0.446177,0.529893,0.36596
0.189802,0.274911,0.560505,0.772118,0.804768
0.310482,0.287189,0.525612,0.820912,0.667815
0.658074,0.713879,0.612967,0.42252,0.273642
0.567139,0.280071,0.223212,0.21756,0.438675
0.399717,0.292349,0.330364,0.721984,0.508874
0.797734,0.779004,0.371938,0.552011,0.179603
0.226346,0.292883,0.992081,0.562869,0.708079
0.203966,0.234875,0.588468,0.510054,0.822649
0.648725,0.650178,0.516951,0.807775,0.306358
0.531445,0.68363,0.590695,0.64933,0.39298
0.637677,0.713879,0.610245,0.448525,0.305298
0.555241,0.444128,0.389013,0.789678,0.309536
0.716147,0.601246,0.498144,0.397051,0.246887
0.614164,0.39306,0.385301,0.544504,0.350464
0.515297,0.675267,0.598119,0.503217,0.389669
0.328329,0.288612,0.683247,0.611394,0.546755
0.61728,0.617794,0.609255,0.502145,0.42
0.544476,0.794662,0.428607,0.94008,0.321457
0.094618,0.364947,0.374412,0.975871,0.786093
0.434844,0.596085,0.581787,0.815416,0.443709
0.645326,0.828826,0.346449,0.843968,0.132715
0.6017,0.722064,0.447909,0.592091,0.293113
0.245609,0.216014,0.418708,0.934316,0.719338
0.394051,0.314235,0.472408,0.270509,0.610199
0.672805,0.8,0.400396,0.872252,0.178278
0.339093,0.281139,0.711705,0.673056,0.532185
0.78017,0.777224,0.387528,0.485523,0.328212
0.85779,0.967616,0.347191,0.481769,0.166755
0.661473,0.924199,0.194011,0.81555,0.253113
0.363173,0.260498,0.622123,0.507239,0.487815
0.110198,0.266726,0.477357,0.884853,0.907815
0.746176,0.881495,0.266766,0.680429,0.177086
0.580453,0.56637,0.334323,0.666488,0.329007
0.733711,0.847509,0.353625,0.631635,0.168874
0.602833,0.349644,0.479089,0.246515,0.439603
0.505666,0.299288,0.213314,0.940885,0.45298
0.232578,0.487367,0.718634,0.64504,0.699735
0.627762,0.770641,0.340015,0.687265,0.281722
0.170255,0.241103,0.561495,0.865282,0.78
0.804533,0.78363,0.267261,0.500402,0.237351
0.632011,0.659786,0.518189,0.837265,0.305166
0.545042,0.671352,0.584014,0.880295,0.360132
0.343343,0.264769,0.618411,0.841689,0.648874
0.222946,0.279359,0.738926,0.829491,0.747152
0.443909,0.42758,0.708241,0.790483,0.52649
0.763456,0.733096,0.326157,0.493968,0.15947
0.492918,0.494662,0.502103,0.751743,0.44702
0.674788,0.847509,0.378867,0.820912,0.216954
0.525496,0.724021,0.568424,0.826139,0.396954
0.383286,0.273488,0.622123,0.812735,0.507152
0.219263,0.27331,0.748082,0.569705,0.805563
0.329745,0.281139,0.721356,0.769437,0.533907
0.254674,0.253025,0.472655,0.830831,0.767947
0.746176,0.847509,0.364514,0.596113,0.153245
0.385552,0.270463,0.701312,0.453217,0.649934
0.900567,0.871352,0.480574,0.135389,0.110728
0.824646,0.937544,0.448156,0.456568,0.183576
0.663739,0.566014,0.434298,0.64933,0.298146
0.333994,0.281851,0.569908,0.797453,0.624636
0.477904,0.36726,0.230389,0.95992,0.364768
0.584136,0.791459,0.347686,0.669973,0.210993
0.610765,0.811032,0.374165,0.746917,0.282119
0.504533,0.323843,0.494927,0.161394,0.570464
0.355241,0.249644,0.495669,0.762064,0.665828
0.653541,0.685943,0.40881,0.699598,0.357881
0.534278,0.679715,0.504331,0.721582,0.403179
0.915014,0.857651,0.343479,0.272922,0.165828
0.491218,0.347509,0.413512,0.6563,0.408344
0.655807,0.802669,0.367236,0.682574,0.238013
0.483003,0.299288,0.204652,0.97882,0.48755
0.659773,0.622954,0.320218,0.629625,0.240795
0.236261,0.321174,0.631279,0.757507,0.704238
0.700283,0.708541,0.491957,0.520241,0.226887
0.686686,0.370996,0.455828,0.397989,0.405298
0.669688,0.871352,0.560257,0.742493,0.196821
0.17932,0.259786,0.755259,0.848525,0.752185
0.853824,0.74395,0.351893,0.482842,0.163444
0.821246,0.857651,0.358822,0.67319,0.161192
0.166572,0.314235,0.535016,0.799866,0.876821
0.382153,0.325801,0.466716,0.934987,0.634172
0.716997,0.8,0.421925,0.363405,0.116821
0.67847,0.880961,0.427864,0.530697,0.310464
0.239943,0.254093,0.434546,0.65134,0.760132
0.824363,0.967616,0.347191,0.412332,0.179868
0.634844,0.649466,0.5073,0.731233,0.296556
0.109348,0.364947,0.396437,0.907909,0.770596
0.59915,0.769573,0.451868,0.68445,0.356556
0.643909,0.713523,0.529077,0.203887,0.344371
0.269405,0.192527,0.547884,0.524397,0.694172
0.377904,0.506406,0.580302,0.496381,0.54755
0.615297,0.439324,0.315268,0.708311,0.310596
0.772521,0.73274,0.291512,0.521984,0.131126
0.527195,0.630071,0.61272,0.824531,0.36543
0.694334,0.789146,0.408315,0.556166,0.278013
0.568839,0.882028,0.57461,0.70134,0.373642
0.222946,0.286833,0.62732,0.609651,0.702649
0.422663,0.514947,0.620391,0.454155,0.53351
0.169688,0.243416,0.632764,0.548794,0.821854
0.608499,0.716192,0.54244,0.59933,0.363046
0.768272,0.847509,0.354863,0.520777,0.187947
0.423229,0.300178,0.517694,0.796515,0.590861
0.556941,0.59484,0.596634,0.689142,0.345298
0.684703,0.760854,0.457065,0.553619,0.248212
0.411615,0.20694,0.348924,0.864611,0.609007
0.663456,0.782562,0.411284,0.768231,0.339868
0.300283,0.286121,0.558525,0.688204,0.686093
0.634278,0.630071,0.594655,0.617828,0.249934
0.161473,0.290036,0.569414,0.707105,0.865166
0.841926,0.811032,0.351893,0.32815,0.153377
0.44221,0.33274,0.587478,0.758579,0.480927
0.144759,0.253559,0.637219,0.760188,0.841987
0.184986,0.27331,0.760455,0.780027,0.832848
0.857224,0.755694,0.37169,0.215147,0.119868
0.718697,0.701601,0.57857,0.51126,0.312715
0.210482,0.285409,0.936154,0.828418,0.750199
0.330595,0.370463,0.625093,0.842091,0.58702
0.592918,0.63452,0.412522,0.72185,0.335099
0.75949,0.762989,0.427122,0.586461,0.103576
0.660057,0.656584,0.451126,0.703083,0.194834
0.273654,0.325801,0.48973,0.629357,0.73457
0.784703,0.89395,0.619401,0.335791,0.144636
0.380453,0.249644,0.497897,0.652547,0.656026
0.592068,0.887367,0.435288,0.687668,0.314437
0.344759,0.245907,0.413759,0.852011,0.631921
0.455524,0.262633,0.472655,0.68311,0.417616
0.311615,0.341993,0.584014,0.739946,0.731656
0.388952,0.295374,0.467459,0.963807,0.620397
0.521246,0.525623,0.59218,0.549598,0.449934
0.123513,0.193772,0.885672,0.871716,0.841192
0.697167,0.608185,0.349666,0.679893,0.241589
0.362323,0.340036,0.880228,0.595174,0.595762
0.785269,0.836833,0.138085,0.67681,0.151391
0.315581,0.326512,0.810195,0.87319,0.64755
0.324363,0.275267,0.373175,0.872252,0.687152
0.613881,0.620463,0.470676,0.722788,0.22755
0.236544,0.288078,0.316753,0.435389,0.755099
0.773938,0.733096,0.340015,0.365818,0.252318
0.254674,0.291459,0.676813,0.71126,0.782252
0.66289,0.89395,0.601336,0.593566,0.338808
0.535694,0.341815,0.397674,0.630161,0.390728
0.690085,0.614947,0.423658,0.645979,0.327152
0.443909,0.335231,0.643405,0.481903,0.488609
0.789235,0.859609,0.336303,0.528418,0.11947
0.696034,0.825089,0.4244,0.588338,0.150993
0.290935,0.285231,0.657263,0.706971,0.762119
