@relation puma8NH-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute theta1 numeric
@attribute theta2 numeric
@attribute theta3 numeric
@attribute thetad1 numeric
@attribute thetad2 numeric
@attribute thetad3 numeric
@attribute tau1 numeric
@attribute tau2 numeric
@attribute thetadd3 numeric

@data
0.361437,0.952839,0.632914,0.5913,0.485122,0.932092,0.915021,0.197037,0.651735
0.080758,0.147154,0.100063,0.688003,0.620186,0.326984,0.512829,0.830677,0.608744
0.934396,0.540365,0.617546,0.363731,0.094158,0.837436,0.28744,0.878467,0.798605
0.536197,0.809656,0.04481,0.242622,0.803085,0.446062,0.526748,0.751261,0.31502
0.452449,0.421582,0.796896,0.109463,0.012796,0.768174,0.397228,0.013118,0.807481
0.649612,0.738744,0.152084,0.83237,0.771846,0.561062,0.025729,0.468496,0.539636
0.749547,0.152319,0.854634,0.337305,0.989025,0.670596,0.669619,0.887706,0.347979
0.642275,0.450732,0.343876,0.664903,0.409422,0.997152,0.209245,0.698066,0.450085
0.053667,0.892331,0.466535,0.813385,0.7114,0.935211,0.326689,0.509032,0.868433
0.988909,0.635439,0.280357,0.310821,0.908986,0.839978,0.00977,0.278604,0.547315
0.301685,0.833365,0.209891,0.222224,0.004523,0.764194,0.504316,0.753457,0.646657
0.348773,0.150913,0.23804,0.221607,0.637726,0.04761,0.826838,0.156952,0.277052
0.36904,0.730587,0.169345,0.888625,0.142386,0.182632,0.776928,0.357707,0.649438
0.488452,0.458848,0.642189,0.44522,0.552872,0.29352,0.168258,0.857387,0.795537
0.560798,0.219924,0.188829,0.300266,0.532925,0.141621,0.615364,0.057466,0.222155
0.013652,0.429205,0.82039,0.907237,0.938545,0.490679,0.285494,0.157446,0.857169
0.879107,0.405323,0.742829,0.586661,0.527773,0.571168,0.840984,0.902743,0.724888
0.346931,0.188957,0.147433,0.694857,0.80572,0.719352,0.981261,0.433305,0.460329
0.829825,0.225455,0.071586,0.167678,0.337493,0.425875,0.29695,0.696902,0.465394
0.677949,0.944493,0.476228,0.681416,0.91799,0.120442,0.707954,0.158878,0.600585
0.340721,0.834989,0.478657,0.499076,0.624341,0.140242,0.440577,0.540016,0.884543
0.08332,0.200076,0.867399,0.832228,0.371778,0.498318,0.653703,0.40553,0.389647
0.204342,0.986264,0.966744,0.196144,0.717478,0.052048,0.394205,0.187965,0.402929
0.053526,0.512456,0.928291,0.03752,0.973462,0.187624,0.661937,0.7817,0.865836
0.601576,0.502916,0.703623,0.771304,0.530391,0.557693,0.408592,0.98388,0.70534
0.719743,0.301909,0.033968,0.041627,0.005926,0.325634,0.83013,0.488432,0.40809
0.904422,0.833544,0.214279,0.948405,0.775822,0.376774,0.1914,0.805914,0.676484
0.183834,0.347014,0.516167,0.804229,0.847938,0.083774,0.533129,0.992004,0.57524
0.377079,0.831479,0.53663,0.662112,0.510135,0.221562,0.961761,0.70742,0.894911
0.68879,0.132451,0.180327,0.434181,0.029864,0.545522,0.880084,0.029414,0.576105
0.332519,0.99555,0.90948,0.954767,0.688197,0.067014,0.897067,0.444394,0.523691
0.108971,0.273367,0.702413,0.447328,0.967684,0.09865,0.52026,0.719522,0.803776
0.389522,0.930715,0.085265,0.023731,0.250997,0.088498,0.910193,0.044393,0.286681
0.539291,0.80499,0.67808,0.561635,0.947423,0.659473,0.747679,0.786952,0.78591
0.982954,0.564178,0.533025,0.085005,0.982429,0.844023,0.985358,0.292173,0.717638
0.003829,0.360497,0.950151,0.372935,0.771805,0.881785,0.545739,0.926612,0.701182
0.33371,0.011367,0.720257,0.281458,0.468491,0.496445,0.189684,0.955158,0.156913
0.742465,0.143845,0.541206,0.559154,0.262933,0.642218,0.794951,0.266465,0.507035
0.030146,0.616122,0.872276,0.782777,0.337514,0.786705,0.794391,0.835465,0.878417
0.523283,0.784291,0.075002,0.568499,0.306307,0.428344,0.786534,0.790927,0.471859
0.480447,0.933246,0.593966,0.126991,0.578772,0.475447,0.316716,0.887759,0.680089
0.77578,0.000514,0.466232,0.710661,0.388819,0.821174,0.027164,0.597928,0.104382
0.375706,0.755424,0.289007,0.658857,0.806793,0.751508,0.333561,0.985874,0.596985
0.307568,0.686516,0.04665,0.147771,0.797792,0.522624,0.100176,0.656699,0.346943
0.664499,0.914895,0.41268,0.839697,0.903219,0.928981,0.642815,0.414672,0.701229
0.295539,0.545461,0.193874,0.076705,0.505517,0.621751,0.852439,0.417635,0.389641
0.908489,0.182038,0.94816,0.924431,0.889814,0.698809,0.76973,0.389781,0.93682
0.35857,0.783783,0.534361,0.537203,0.352736,0.546998,0.686755,0.885924,0.902192
0.682689,0.597587,0.60196,0.451169,0.530491,0.24356,0.621233,0.70431,0.697131
0.683736,0.199672,0.082702,0.959841,0.963422,0.496005,0.79264,0.409209,0.327617
0.334777,0.93291,0.947591,0.348227,0.540589,0.91674,0.934569,0.717323,0.448041
0.195733,0.309443,0.562574,0.622628,0.958641,0.158607,0.053444,0.267881,0.817132
0.608577,0.14696,0.849008,0.786213,0.079511,0.723845,0.478131,0.681303,0.663969
0.511713,0.352467,0.098866,0.587334,0.830512,0.287852,0.912774,0.415576,0.543491
0.140482,0.81543,0.003382,0.096266,0.236031,0.628702,0.664718,0.517677,0.481009
0.756828,0.515931,0.287697,0.648523,0.138878,0.235656,0.808068,0.701031,0.46788
0.947332,0.924553,0.596507,0.828949,0.27069,0.987856,0.985939,0.046618,0.773967
0.057201,0.275324,0.560936,0.090084,0.332029,0.617257,0.333261,0.944769,0.168756
0.196929,0.401888,0.053691,0.475704,0.848193,0.373164,0.527912,0.311579,0.558734
0.416702,0.688141,0.345044,0.29514,0.383467,0.889581,0.560453,0.203733,0.597574
0.37962,0.529009,0.908291,0.970463,0.4707,0.6123,0.04847,0.679929,0.885749
0.21661,0.13892,0.823518,0.47018,0.007207,0.863741,0.323861,0.9787,0.730154
0.067184,0.031534,0.401449,0.115296,0.044247,0.216356,0.474718,0.331821,0.256564
0.371796,0.035898,0.697512,0.095694,0.610961,0.326821,0.77088,0.698116,0.160807
0.0964,0.007967,0.623893,0.00103,0.757531,0.03829,0.208445,0.267321,0.132859
0.570001,0.875051,0.274384,0.946679,0.781395,0.017604,0.598228,0.075544,0.720775
0.644269,0.947247,0.712647,0.416974,0.861067,0.693107,0.944596,0.233187,0.849778
0.207747,0.198111,0.87329,0.823409,0.167414,0.700893,0.779382,0.588291,0.276572
0.301027,0.777401,0.353498,0.363838,0.89591,0.12616,0.809762,0.176258,0.776802
0.102439,0.498258,0.489179,0.314819,0.110643,0.817031,0.402531,0.1254,0.495565
0.950988,0.367892,0.145069,0.962402,0.997506,0.177838,0.217237,0.024534,0.821102
0.772756,0.175247,0.890964,0.808881,0.018039,0.851054,0.139174,0.073649,0.559967
0.892007,0.190644,0.473999,0.224471,0.773888,0.871406,0.138997,0.086585,0.105385
0.986246,0.882333,0.561068,0.309467,0.160254,0.396463,0.044409,0.414023,0.773632
0.088554,0.156701,0.4309,0.001243,0.338041,0.628763,0.688212,0.371895,0.201183
0.868522,0.529554,0.068237,0.902304,0.029359,0.065018,0.347426,0.014834,0.356958
0.688799,0.277744,0.206302,0.912953,0.990078,0.377749,0.572978,0.707166,0.537797
0.528025,0.476015,0.945248,0.983763,0.981555,0.159414,0.606516,0.36023,0.799849
0.548436,0.488055,0.134779,0.053823,0.962555,0.924752,0.581759,0.285797,0.39706
0.228782,0.684639,0.531699,0.807908,0.665263,0.72038,0.242217,0.841287,0.724027
0.438945,0.485756,0.525903,0.415843,0.854336,0.597697,0.639367,0.455344,0.911266
0.832706,0.635102,0.616463,0.150451,0.82608,0.822202,0.294533,0.077504,0.875959
0.707622,0.596055,0.859837,0.751487,0.484533,0.034259,0.467388,0.125863,0.845797
0.809204,0.685478,0.62174,0.839425,0.32806,0.93647,0.484456,0.976357,0.910512
0.16356,0.639978,0.495093,0.678586,0.368198,0.344044,0.191775,0.094157,0.647106
0.195944,0.847173,0.091204,0.826936,0.434571,0.565267,0.693793,0.164187,0.394605
0.173427,0.453658,0.472775,0.662379,0.990075,0.319973,0.692569,0.584261,0.300876
0.697551,0.362767,0.074661,0.847277,0.289338,0.314484,0.44978,0.219396,0.634025
0.977584,0.31155,0.93782,0.161916,0.503625,0.83771,0.901048,0.352181,0.903377
0.274557,0.941046,0.584251,0.874876,0.102852,0.914126,0.011029,0.423453,0.834218
0.133023,0.454508,0.754404,0.081203,0.092977,0.998116,0.412921,0.74542,0.83637
0.7708,0.309532,0.049407,0.486984,0.413653,0.097161,0.500898,0.323702,0.379868
0.626367,0.113112,0.414552,0.28685,0.073366,0.474468,0.865757,0.246193,0.074135
0.48094,0.212314,0.393071,0.33144,0.433045,0.927486,0.524329,0.092778,0.444279
0.444738,0.825371,0.956113,0.559096,0.283007,0.927348,0.20814,0.142075,0.491421
0.720223,0.361653,0.358251,0.22531,0.874474,0.952797,0.846681,0.645818,0.322227
0.529295,0.810757,0.535665,0.446277,0.316089,0.796754,0.65551,0.760943,0.858658
0.285693,0.084148,0.992133,0.825749,0.50096,0.054927,0.783457,0.075214,0.891325
0.19001,0.128576,0.118056,0.046837,0.55388,0.223612,0.421571,0.113095,0.601612
0.968598,0.303862,0.83078,0.48363,0.04357,0.838997,0.519812,0.184338,0.414551
0.621339,0.612735,0.992188,0.759922,0.245895,0.373051,0.639147,0.771098,0.819998
0.601395,0.449471,0.156238,0.644075,0.391933,0.149321,0.014744,0.856153,0.666644
0.293182,0.938666,0.621056,0.332564,0.316586,0.144121,0.624199,0.552268,0.776931
0.849894,0.480686,0.379752,0.518906,0.868105,0.939005,0.084314,0.073129,0.72027
0.084367,0.80423,0.920449,0.26007,0.023114,0.12449,0.734412,0.825876,0.598591
0.455846,0.509716,0.91034,0.390099,0.219096,0.081566,0.426124,0.639311,0.825737
0.217886,0.578688,0.204096,0.844546,0.38165,0.376786,0.396585,0.200459,0.46781
0.14778,0.462835,0.599125,0.815694,0.521444,0.225804,0.24726,0.603094,0.486819
0.465145,0.776857,0.22702,0.04445,0.439886,0.869042,0.409924,0.365768,0.634623
0.124885,0.695476,0.529839,0.539964,0.762563,0.581518,0.776528,0.641575,0.839014
0.082255,0.299056,0.11519,0.890883,0.097956,0.651555,0.686,0.195718,0.323844
0.833365,0.723814,0.43234,0.194706,0.551067,0.959974,0.457464,0.348189,0.843606
0.481865,0.754939,0.129587,0.806304,0.72251,0.597796,0.317428,0.867187,0.460339
0.771467,0.520431,0.85497,0.974308,0.080682,0.403864,0.427127,0.49038,0.739827
0.851408,0.918341,0.287984,0.470731,0.278619,0.210528,0.545492,0.767142,0.822138
0.273449,0.315095,0.483724,0.638514,0.925025,0.328352,0.494813,0.046201,0.429794
0.601162,0.543161,0.568584,0.603999,0.893076,0.505402,0.697141,0.429741,0.905783
0.163985,0.776035,0.414163,0.766082,0.761543,0.454091,0.455573,0.575549,0.885666
0.82047,0.013934,0.826949,0.107849,0.888198,0.550472,0.070208,0.002343,0.186114
0.95797,0.694079,0.070114,0.441542,0.742013,0.307232,0.589171,0.853084,0.301393
0.690147,0.934534,0.213839,0.55835,0.745511,0.073664,0.638951,0.472997,0.523864
0.948621,0.586519,0.72652,0.531169,0.955826,0.851439,0.607719,0.581792,0.843674
0.773479,0.327354,0.351435,0.68143,0.160616,0.474989,0.629888,0.15517,0.388181
0.424344,0.119769,0.204483,0.352086,0.394806,0.424172,0.688041,0.494584,0.440661
0.660527,0.165035,0.397447,0.858343,0.251993,0.82861,0.979087,0.891505,0.241227
0.416188,0.043505,0.436511,0.284038,0.816679,0.869063,0.766672,0.989801,0.19508
0.941204,0.947317,0.89538,0.012867,0.670489,0.525066,0.131178,0.688629,0.528162
0.773436,0.608832,0.447141,0.911083,0.567213,0.26294,0.294038,0.765906,0.632468
0.707632,0.765088,0.576788,0.469918,0.613065,0.684114,0.825603,0.395774,0.798119
0.289177,0.629433,0.417791,0.725417,0.384076,0.129246,0.656329,0.539195,0.668469
0.622003,0.775543,0.155416,0.830528,0.801361,0.488886,0.155954,0.08368,0.492409
0.162019,0.739446,0.944485,0.158449,0.245626,0.850332,0.003655,0.500196,0.66189
0.816257,0.219458,0.375855,0.047103,0.028875,0.925599,0.811634,0.634573,0.215649
0.775718,0.952206,0.009483,0.61766,0.466507,0.167799,0.51889,0.690543,0.477021
0.949087,0.416708,0.941288,0.434042,0.705996,0.136191,0.368426,0.955605,0.771056
0.060863,0.816798,0.992836,0.642125,0.621212,0.571356,0.008305,0.640171,0.843206
0.415296,0.061688,0.805646,0.150275,0.876758,0.332812,0.451291,0.609985,0.124953
0.713407,0.822349,0.201118,0.796929,0.163164,0.287508,0.134658,0.171151,0.813235
0.89017,0.324872,0.667485,0.531062,0.165285,0.924724,0.11222,0.070772,0.75004
0.317285,0.986536,0.535359,0.300747,0.613517,0.277145,0.99844,0.14569,0.619202
0.48329,0.705938,0.222659,0.773815,0.721234,0.174381,0.11534,0.506124,0.471579
0.885022,0.813086,0.63884,0.169436,0.87811,0.044866,0.717881,0.988247,0.758025
0.738202,0.489989,0.610319,0.921965,0.446412,0.519252,0.43849,0.458863,0.431525
0.72099,0.243654,0.716075,0.007148,0.570433,0.366741,0.601938,0.425443,0.118865
0.349693,0.597801,0.188212,0.93264,0.846606,0.704136,0.281789,0.905011,0.435307
0.040411,0.117472,0.625244,0.716172,0.00826,0.546588,0.802412,0.643608,0.221684
0.239299,0.428838,0.656616,0.875266,0.655313,0.534138,0.587243,0.441754,0.349855
0.248697,0.356813,0.079623,0.225592,0.61463,0.971095,0.344575,0.105723,0.788873
0.170936,0.588965,0.799578,0.184059,0.621588,0.879232,0.650979,0.617301,0.745996
0.788978,0.799757,0.806949,0.048337,0.766423,0.445858,0.099297,0.881571,0.724893
0.773837,0.343544,0.238385,0.026172,0.268956,0.847051,0.870184,0.634009,0.311694
0.634334,0.99765,0.181816,0.455195,0.180129,0.33902,0.772941,0.346218,0.71902
0.81876,0.276549,0.143299,0.214528,0.679281,0.260743,0.366656,0.205414,0.404554
0.118911,0.300717,0.008632,0.30313,0.66821,0.233067,0.299742,0.618398,0.444462
0.980014,0.151352,0.606121,0.367664,0.178494,0.876041,0.01819,0.779685,0.112865
0.96024,0.850883,0.402491,0.62939,0.595152,0.696574,0.206179,0.174855,0.817849
0.996061,0.826026,0.956772,0.627201,0.812373,0.507561,0.97664,0.76594,0.522779
0.060474,0.268061,0.588494,0.180212,0.97323,0.289302,0.295034,0.503849,0.079706
0.742633,0.971418,0.647993,0.979598,0.984035,0.832238,0.947855,0.017021,0.761584
0.800309,0.210046,0.296635,0.840144,0.406189,0.680283,0.442774,0.461556,0.278882
0.767022,0.816231,0.46568,0.429523,0.75133,0.84851,0.384684,0.184653,0.746901
0.854427,0.658799,0.572218,0.678112,0.385698,0.377033,0.543417,0.892245,0.85825
0.693077,0.173484,0.287191,0.153665,0.839982,0.418527,0.827028,0.346576,0.088314
0.906995,0.062414,0.000078,0.57107,0.508986,0.908111,0.92738,0.89558,0.368045
0.421905,0.1207,0.846858,0.667766,0.528102,0.09679,0.254749,0.461925,0.585392
0.240011,0.394508,0.123116,0.074268,0.54873,0.699608,0.192407,0.72031,0.480821
0.627154,0.32939,0.542053,0.792697,0.039731,0.328642,0.361158,0.796087,0.236536
0.793941,0.190535,0.643318,0.431239,0.599293,0.26705,0.357899,0.029545,0.257925
0.896119,0.304916,0.525758,0.977317,0.652562,0.313335,0.13799,0.175625,0.29411
0.078623,0.265927,0.749021,0.63549,0.119721,0.356643,0.900063,0.79005,0.432323
0.394254,0.455458,0.701356,0.689154,0.964093,0.754984,0.739282,0.669713,0.916078
0.234007,0.497114,0.273781,0.816653,0.634498,0.802579,0.551872,0.99857,0.411862
0.520848,0.869195,0.934045,0.728824,0.627719,0.898642,0.814697,0.123483,0.524901
0.079041,0.290159,0.703097,0.945822,0.365092,0.14879,0.083513,0.615339,0.334781
0.387863,0.055569,0.046704,0.063362,0.271943,0.033584,0.12046,0.56302,0.542774
0.440829,0.141725,0.939144,0.423954,0.163451,0.109313,0.697494,0.365795,0.86627
0.222013,0.939902,0.379264,0.321869,0.581773,0.90435,0.74082,0.5122,0.742303
0.115708,0.478719,0.351192,0.612291,0.244601,0.622265,0.501392,0.616575,0.272863
0.033182,0.627122,0.603144,0.353531,0.678865,0.266247,0.861573,0.92865,0.838239
0.566364,0.768641,0.240541,0.24785,0.67249,0.152488,0.230119,0.520421,0.522531
0.292552,0.350505,0.144257,0.318169,0.410543,0.839048,0.381904,0.466366,0.328017
0.789215,0.77667,0.076165,0.11479,0.537646,0.453714,0.115034,0.367985,0.353895
0.146613,0.840976,0.02965,0.485936,0.790512,0.199668,0.059678,0.046889,0.36043
0.709154,0.349923,0.365353,0.561899,0.383322,0.461601,0.644743,0.809581,0.406857
0.037659,0.863463,0.669699,0.723889,0.698372,0.027744,0.991139,0.445461,0.941701
0.245354,0.18483,0.832128,0.148834,0.662045,0.652492,0.42971,0.898918,0.751906
0.818125,0.598558,0.906067,0.602199,0.649827,0.371406,0.98557,0.860481,0.472955
0.52435,0.70725,0.264447,0.960394,0.259059,0.556184,0.058889,0.772668,0.721487
0.920494,0.914449,0.92616,0.238419,0.163459,0.257826,0.363934,0.465591,0.134402
0.996681,0.245458,0.000041,0.952306,0.342182,0.217595,0.296023,0.121048,0.646498
0.466939,0.91384,0.683306,0.368972,0.164405,0.145753,0.045355,0.316703,0.639273
0.574144,0.49982,0.718416,0.348014,0.964816,0.906722,0.596028,0.095985,0.7641
0.334565,0.381944,0.119849,0.170927,0.945903,0.133387,0.253194,0.315525,0.402285
0.375847,0.120063,0.140093,0.3428,0.335179,0.543388,0.018615,0.915927,0.451265
0.468632,0.378425,0.037077,0.284528,0.047787,0.685411,0.619442,0.596781,0.390144
0.410443,0.508273,0.674196,0.296178,0.839105,0.66918,0.868402,0.690956,0.745933
0.144995,0.656564,0.045561,0.847751,0.249136,0.821997,0.842736,0.33609,0.318891
0.036972,0.330444,0.241134,0.212083,0.585894,0.135702,0.149375,0.521939,0.482178
0.549662,0.091279,0.75367,0.757389,0.668122,0.765826,0.937558,0.954627,0.555402
0.973231,0.169901,0.118588,0.977681,0.770906,0.768516,0.132248,0.668245,0.494114
0.120858,0.025564,0.142932,0.063254,0.450022,0.168063,0.957093,0.270905,0.355407
0.454066,0.59813,0.717033,0.119939,0.069305,0.247556,0.779197,0.491262,0.819407
0.216293,0.820489,0.980433,0.225481,0.746105,0.060954,0.062678,0.469492,0.69691
0.08526,0.80121,0.208405,0.245722,0.909954,0.098022,0.954774,0.283904,0.491532
0.25662,0.510436,0.003604,0.816521,0.408295,0.062463,0.418416,0.096233,0.516231
0.059416,0.502645,0.150072,0.033791,0.309034,0.241688,0.167717,0.777563,0.422304
0.81219,0.870596,0.459855,0.557672,0.358451,0.563497,0.942252,0.839571,0.927571
0.195004,0.046584,0.157597,0.490798,0.503112,0.205882,0.479874,0.975628,0.414645
0.935945,0.569695,0.175544,0.057709,0.259511,0.155571,0.040402,0.074026,0.375142
0.386903,0.917834,0.761574,0.575146,0.015438,0.155094,0.016533,0.929953,0.825689
0.052954,0.898197,0.991711,0.74456,0.083199,0.693588,0.023813,0.270347,0.550702
0.95344,0.578462,0.417763,0.2572,0.793703,0.818983,0.205419,0.403028,0.571178
0.158361,0.263732,0.903929,0.668793,0.78318,0.009815,0.709955,0.791389,0.920825
0.14439,0.486761,0.396799,0.980445,0.222556,0.213165,0.867471,0.044237,0.318581
0.746821,0.335105,0.520627,0.747595,0.085613,0.259022,0.451191,0.931177,0.34726
0.014965,0.493732,0.466469,0.700606,0.405521,0.459214,0.533641,0.597698,0.816953
0.874188,0.741565,0.5292,0.80596,0.923875,0.014325,0.48893,0.18727,0.859377
0.628413,0.489913,0.337488,0.326036,0.619728,0.624265,0.100957,0.783328,0.598101
0.836482,0.090407,0.110363,0.766547,0.576638,0.617073,0.239727,0.003081,0.324126
0.155079,0.116757,0.6342,0.198624,0.403654,0.085289,0.003853,0.829655,0.280173
0.62788,0.544008,0.805765,0.151274,0.669146,0.968062,0.365117,0.340595,0.804848
0.482492,0.29167,0.082947,0.076615,0.996902,0.029933,0.769634,0.762566,0.514978
0.368596,0.276365,0.053744,0.357294,0.922359,0.534709,0.172007,0.87714,0.410301
0.616639,0.635068,0.049701,0.420001,0.733911,0.176596,0.348245,0.775661,0.397255
0.64571,0.176627,0.075424,0.669405,0.067574,0.159549,0.885833,0.636471,0.299282
0.483262,0.229189,0.780678,0.589046,0.604972,0.698258,0.507603,0.994512,0.229326
0.064347,0.362623,0.648425,0.239064,0.016065,0.683344,0.885322,0.054502,0.588088
0.545659,0.820145,0.19636,0.853969,0.744843,0.854086,0.091215,0.061947,0.45857
0.257333,0.490534,0.762959,0.840604,0.135209,0.585242,0.346415,0.030911,0.625849
0.81603,0.392813,0.659019,0.268783,0.46049,0.057054,0.527875,0.69904,0.726392
0.697687,0.639934,0.75811,0.370434,0.748297,0.885258,0.902756,0.050695,0.927984
0.140819,0.480166,0.658389,0.674712,0.254277,0.201926,0.987367,0.057372,0.849283
0.843659,0.713662,0.934223,0.720891,0.313265,0.34686,0.512021,0.234969,0.812712
0.931396,0.121595,0.875692,0.183074,0.071685,0.230791,0.058166,0.627236,0.619333
0.603534,0.40119,0.347534,0.144436,0.743544,0.024785,0.260213,0.298219,0.39703
0.528546,0.235138,0.695379,0.23832,0.502321,0.915483,0.822659,0.930022,0.770633
0.17475,0.677905,0.437491,0.759506,0.250484,0.478043,0.956444,0.358208,0.837064
0.893648,0.77164,0.610944,0.426988,0.147069,0.852707,0.916486,0.807619,0.875691
0.66741,0.845442,0.031758,0.914964,0.783673,0.286989,0.416994,0.202011,0.354984
0.182262,0.927,0.699468,0.956234,0.348898,0.058998,0.200011,0.506294,0.814949
