@relation pollen-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RIDGE numeric
@attribute NUB numeric
@attribute CRACK numeric
@attribute WEIGHT numeric
@attribute DENSITY numeric
@attribute OBSERVATION_NUMBER numeric

@data
0.255108,0.5078,0.472583,0.733112,0.603486,0.041071
0.715315,0.906385,0.524176,0.263367,0.636822,0.041331
0.552077,0.700358,0.455497,0.406667,0.668097,0.041591
0.695354,0.549308,0.411956,0.24447,0.605097,0.041851
0.469811,0.700759,0.52519,0.545354,0.581414,0.042111
0.412696,0.813558,0.721332,0.488111,0.793232,0.042371
0.468095,0.388541,0.381152,0.521957,0.536352,0.042631
0.641443,0.417431,0.490708,0.335096,0.473955,0.042891
0.647773,0.686088,0.716692,0.403477,0.408737,0.043151
0.376568,0.272045,0.365921,0.610185,0.517982,0.04341
0.618113,0.407497,0.606376,0.469793,0.35229,0.04367
0.537642,0.326125,0.53761,0.469793,0.571766,0.04393
0.70905,0.675242,0.695556,0.438866,0.312987,0.04419
0.493888,0.27452,0.705319,0.580522,0.408567,0.04445
0.396608,0.689072,0.548541,0.616664,0.499721,0.04471
0.627478,0.538982,0.508114,0.464126,0.511193,0.04497
0.593334,0.283453,0.444627,0.480889,0.402302,0.04523
0.628606,0.578786,0.667233,0.41532,0.358489,0.04549
0.645493,0.639309,0.58128,0.282322,0.482795,0.04575
0.534498,0.717097,0.714096,0.526998,0.52801,0.04601
0.55864,0.276847,0.675493,0.462765,0.353495,0.04627
0.57015,0.359256,0.250896,0.459985,0.446814,0.04653
0.506441,0.386594,0.46996,0.57788,0.365239,0.04679
0.80002,0.390455,0.35456,0.376361,0.277014,0.04705
0.722993,0.359508,0.515849,0.252229,0.342865,0.04731
0.707054,0.210708,0.55522,0.356053,0.302684,0.04757
0.306175,0.268886,0.500261,0.740227,0.544595,0.047829
0.729428,0.537763,0.504048,0.27523,0.508801,0.048089
0.711583,0.353229,0.596122,0.362178,0.39568,0.048349
0.468643,0.33405,0.723569,0.530538,0.48438,0.048609
0.546953,0.511747,0.571967,0.443428,0.604307,0.048869
0.657343,0.620986,0.715819,0.324124,0.473117,0.049129
0.461993,0.556663,0.412078,0.463888,0.787387,0.049389
0.613121,0.689345,0.335223,0.403568,0.61698,0.049649
0.278126,0.564725,0.637048,0.68263,0.839028,0.049909
0.568877,0.620341,0.617369,0.412724,0.501209,0.050169
0.52336,0.505557,0.641732,0.567284,0.381269,0.050429
0.5832,0.576002,0.765772,0.411651,0.497822,0.050689
0.642917,0.353137,0.631897,0.483087,0.295044,0.050949
0.44078,0.501299,0.524079,0.647709,0.437502,0.051209
0.713807,0.548693,0.465742,0.332101,0.32005,0.051469
0.393641,0.584712,0.480894,0.667462,0.50021,0.051729
0.258281,0.580884,0.567746,0.761979,0.790932,0.051989
0.521082,0.694872,0.633266,0.436336,0.68184,0.052249
0.35013,0.44422,0.648119,0.66728,0.479731,0.052508
0.343771,0.718413,0.586121,0.582883,0.616692,0.052768
0.568953,0.635704,0.337004,0.4055,0.706545,0.053028
0.323686,0.507233,0.568125,0.681009,0.651687,0.053288
0.510907,0.602488,0.444689,0.584653,0.578533,0.053548
0.589535,0.487941,0.679918,0.486238,0.31575,0.053808
0.51992,0.721851,0.673126,0.520665,0.496988,0.054068
0.651765,0.180008,0.43327,0.335685,0.393934,0.054328
0.320131,0.709686,0.328089,0.621032,0.784746,0.054588
0.687146,0.314485,0.539964,0.429843,0.328371,0.054848
0.326116,0.375938,0.306113,0.598544,0.642991,0.055108
0.791085,0.3656,0.392269,0.259223,0.35212,0.055368
0.471308,0.428851,0.473415,0.458037,0.758753,0.055628
0.503771,0.515277,0.873778,0.561583,0.423266,0.055888
0.463503,0.625613,0.451582,0.462808,0.852548,0.056148
0.478431,0.416504,0.526771,0.562725,0.395475,0.056408
0.614896,0.67506,0.674743,0.379521,0.502095,0.056668
0.413884,0.429983,0.817218,0.717695,0.380247,0.056927
0.489583,0.243865,0.379989,0.426791,0.510124,0.057187
0.622786,0.565262,0.577554,0.381043,0.558848,0.057447
0.592235,0.671988,0.355929,0.462904,0.606944,0.057707
0.444434,0.396395,0.449197,0.529016,0.556286,0.057967
0.376326,0.531484,0.567538,0.650653,0.489165,0.058227
0.521073,0.739467,0.569277,0.432021,0.627807,0.058487
0.468142,0.481154,0.767923,0.605643,0.408104,0.058747
0.317036,0.449818,0.775017,0.770857,0.488174,0.059007
0.552247,0.76885,0.590776,0.380599,0.692627,0.059267
0.504787,0.379697,0.412992,0.576592,0.47299,0.059527
0.345156,0.699098,0.558826,0.635067,0.731568,0.059787
0.577836,0.4279,0.640939,0.393158,0.445164,0.060047
0.861481,0.678837,0.502302,0.257938,0.306548,0.060307
0.31502,0.729503,0.512804,0.656879,0.743539,0.060567
0.498596,0.211073,0.622508,0.541389,0.385495,0.060827
0.638948,0.471074,0.514913,0.398035,0.285807,0.061087
0.660534,0.41481,0.572845,0.344872,0.337665,0.061347
0.301796,0.453497,0.641041,0.684811,0.689537,0.061606
0.436005,0.309083,0.270356,0.458092,0.712727,0.061866
0.523313,0.676882,0.520207,0.40801,0.74136,0.062126
0.419892,0.428613,0.45621,0.51237,0.696268,0.062386
0.679471,0.484794,0.48804,0.364979,0.421223,0.062646
0.446292,0.604274,0.464057,0.62482,0.477993,0.062906
0.889026,0.693404,0.498826,0.164342,0.403123,0.063166
0.335398,0.530061,0.402115,0.712472,0.678496,0.063426
0.392139,0.468566,0.442654,0.733002,0.408375,0.063686
0.540556,0.272844,0.626217,0.61422,0.308298,0.063946
0.677126,0.473918,0.460731,0.33045,0.39843,0.064206
0.492563,0.768648,0.375096,0.530592,0.689152,0.064466
0.48202,0.328678,0.483935,0.497486,0.52453,0.064726
0.476672,0.847069,0.489581,0.51792,0.617958,0.064986
0.630517,0.398169,0.615837,0.412651,0.409139,0.065246
0.554221,0.184962,0.546308,0.46681,0.354084,0.065506
0.617881,0.43406,0.447143,0.456594,0.402364,0.065766
0.722959,0.446154,0.448757,0.333704,0.411876,0.066025
0.534762,0.361773,0.426016,0.509459,0.408174,0.066285
0.385254,0.373439,0.319432,0.608732,0.557761,0.066545
0.449843,0.511022,0.62429,0.636131,0.485537,0.066805
0.622622,0.727058,0.515756,0.432139,0.532511,0.067065
0.521113,0.264556,0.735265,0.48772,0.488955,0.067325
0.545839,0.390936,0.381341,0.435018,0.503903,0.067585
0.654139,0.487671,0.666633,0.401967,0.427867,0.067845
0.677582,0.755386,0.525925,0.409995,0.477753,0.068105
0.640872,0.437593,0.625283,0.330569,0.626249,0.068365
0.398246,0.506704,0.663719,0.575768,0.631452,0.068625
0.644365,0.235194,0.461324,0.48348,0.414124,0.068885
0.388816,0.529,0.254727,0.539882,0.703646,0.069145
0.615576,0.610065,0.463339,0.378148,0.489016,0.069405
0.53312,0.323397,0.568178,0.482681,0.359105,0.069665
0.51182,0.387914,0.690435,0.520324,0.516048,0.069925
0.566387,0.457866,0.392584,0.333195,0.477862,0.070185
0.492053,0.459536,0.399629,0.611239,0.37201,0.070445
0.617811,0.660942,0.578808,0.465552,0.498236,0.070704
0.533086,0.571105,0.605743,0.416136,0.492932,0.070964
0.589826,0.772467,0.561483,0.404515,0.580327,0.071224
0.522059,0.391453,0.646342,0.549467,0.433647,0.071484
0.465978,0.29353,0.422428,0.496081,0.537963,0.071744
0.587152,0.616133,0.185659,0.298058,0.641388,0.072004
0.50155,0.292478,0.308661,0.459198,0.673275,0.072264
0.445748,0.556576,0.689821,0.553553,0.70107,0.072524
0.40814,0.699445,0.596505,0.568859,0.725129,0.072784
0.481926,0.63749,0.824595,0.587021,0.451503,0.073044
0.209653,0.407943,0.467548,0.716838,0.736829,0.073304
0.45232,0.612746,0.25244,0.507366,0.728115,0.073564
0.529954,0.375124,0.520112,0.427438,0.520082,0.073824
0.456598,0.414269,0.156233,0.464236,0.661723,0.074084
0.612258,0.541561,0.700435,0.38559,0.517283,0.074344
0.403768,0.431507,0.581141,0.692317,0.424707,0.074604
0.334971,0.711977,0.696803,0.552869,0.951516,0.074864
0.333917,0.245449,0.735213,0.774823,0.425575,0.075123
0.690637,0.677708,0.46856,0.309989,0.486855,0.075383
0.402609,0.162476,0.43673,0.574766,0.514297,0.075643
0.682047,0.422239,0.386091,0.296751,0.466459,0.075903
0.592124,0.339471,0.681141,0.406138,0.506155,0.076163
0.619243,0.369728,0.492571,0.393515,0.419027,0.076423
0.432208,0.462171,0.396567,0.636532,0.502602,0.076683
0.741806,0.721727,0.507755,0.263,0.536496,0.076943
0.637337,0.282876,0.309455,0.433924,0.342747,0.077203
0.574241,0.484735,0.573477,0.600998,0.208854,0.077463
0.483192,0.467398,0.513005,0.480211,0.602613,0.077723
0.720862,0.626977,0.469628,0.326592,0.383137,0.077983
0.529321,0.511518,0.499854,0.507225,0.487379,0.078243
0.615836,0.549112,0.506201,0.27537,0.573565,0.078503
0.58461,0.792965,0.538961,0.426895,0.59706,0.078763
0.549018,0.751279,0.44257,0.392667,0.722051,0.079023
0.748228,0.489582,0.396024,0.295458,0.25358,0.079283
0.339571,0.641663,0.643462,0.699946,0.637577,0.079543
0.446947,0.277192,0.610404,0.466342,0.54779,0.079802
0.490393,0.403637,0.522182,0.486799,0.619447,0.080062
0.556617,0.639024,0.609036,0.463062,0.503466,0.080322
0.588123,0.546607,0.578562,0.350951,0.644571,0.080582
0.492691,0.478325,0.509861,0.486187,0.572285,0.080842
0.720766,0.620258,0.468915,0.344715,0.417202,0.081102
0.465573,0.548794,0.763886,0.53472,0.534549,0.081362
0.487712,0.370753,0.525893,0.604175,0.371211,0.081622
0.716371,0.387415,0.333049,0.325615,0.369595,0.081882
0.492924,0.651739,0.72013,0.50117,0.629588,0.082142
0.302769,0.17413,0.411862,0.651171,0.598514,0.082402
0.785491,0.578275,0.345131,0.180831,0.494076,0.082662
0.481178,0.65234,0.542452,0.549202,0.519619,0.082922
0.735306,0.717569,0.522449,0.256979,0.576686,0.083182
0.376756,0.319909,0.459699,0.629889,0.484585,0.083442
0.452376,0.559058,0.315092,0.527365,0.557499,0.083702
0.654081,0.610279,0.338628,0.288476,0.613492,0.083962
0.470993,0.571253,0.369691,0.582873,0.492465,0.084221
0.59303,0.379564,0.639977,0.422047,0.355115,0.084481
0.432987,0.263439,0.414982,0.552609,0.523731,0.084741
0.536259,0.468742,0.37607,0.513418,0.526036,0.085001
0.680679,0.660776,0.436567,0.303833,0.534213,0.085261
0.560842,0.72879,0.45828,0.352721,0.700398,0.085521
0.262029,0.350062,0.619305,0.67834,0.75282,0.085781
0.445936,0.619738,0.511527,0.593312,0.54717,0.086041
0.628091,0.464498,0.285642,0.401269,0.344157,0.086301
0.600499,0.535329,0.712027,0.445627,0.492308,0.086561
0.449075,0.546164,0.418456,0.520383,0.645492,0.086821
0.613211,0.49882,0.657855,0.443809,0.394309,0.087081
0.494826,0.415131,0.771649,0.552351,0.529101,0.087341
0.648375,0.433926,0.3321,0.402593,0.416106,0.087601
0.491328,0.525817,0.587128,0.464894,0.595214,0.087861
0.135346,0.090031,0.602153,0.827966,0.576315,0.088121
0.553478,0.37551,0.503368,0.376875,0.490099,0.088381
0.70886,0.64965,0.447339,0.396472,0.417512,0.08864
0.619848,0.488247,0.603503,0.41728,0.510111,0.0889
0.684823,0.52456,0.335669,0.373086,0.430701,0.08916
0.502373,0.477285,0.385678,0.575147,0.503012,0.08942
0.515233,0.269171,0.503274,0.468612,0.537164,0.08968
0.655842,0.538084,0.616857,0.379031,0.51342,0.08994
0.471796,0.468346,0.762221,0.531168,0.452481,0.0902
0.359698,0.296914,0.448688,0.537352,0.706602,0.09046
0.463157,0.349565,0.664519,0.573888,0.301597,0.09072
0.192699,0.354564,0.528192,0.703507,0.861764,0.09098
0.471709,0.450347,0.64006,0.439828,0.69743,0.09124
0.507902,0.490402,0.361217,0.454738,0.410422,0.0915
0.46016,0.452769,0.353869,0.541536,0.665975,0.09176
0.250673,0.402228,0.574274,0.876142,0.4189,0.09202
0.615525,0.378324,0.454303,0.3066,0.577476,0.09228
0.711802,0.299286,0.386352,0.247259,0.461618,0.09254
0.49826,0.155635,0.238375,0.581847,0.29232,0.0928
0.479079,0.728309,0.673908,0.619383,0.590237,0.09306
0.29739,0.488342,0.71237,0.697564,0.571583,0.093319
0.486157,0.466555,0.513032,0.481125,0.608402,0.093579
0.847948,0.452636,0.502989,0.184672,0.349322,0.093839
0.650042,0.539671,0.420385,0.333707,0.547279,0.094099
0.509912,0.694064,0.593606,0.418516,0.806037,0.094359
0.394207,0.523354,0.571279,0.461144,0.853054,0.094619
0.389447,0.397696,0.315324,0.544895,0.658366,0.094879
0.641734,0.471143,0.600039,0.447709,0.378545,0.095139
0.598707,0.709736,0.732155,0.456694,0.498049,0.095399
0.640351,0.375323,0.504092,0.396562,0.422275,0.095659
0.56007,0.442018,0.537387,0.351853,0.566344,0.095919
0.731592,0.579574,0.55257,0.396634,0.399137,0.096179
0.61141,0.501284,0.557582,0.385883,0.465136,0.096439
0.497685,0.275964,0.445146,0.553984,0.408742,0.096699
0.504275,0.693398,0.382188,0.511656,0.617028,0.096959
0.361943,0.437439,0.518866,0.706101,0.465761,0.097219
0.555505,0.780963,0.401208,0.414098,0.63092,0.097479
0.713489,0.805695,0.506674,0.343552,0.502999,0.097738
0.591005,0.419143,0.464122,0.449958,0.433128,0.097998
0.49381,0.37965,0.479266,0.473911,0.626187,0.098258
0.689395,0.413398,0.595416,0.287223,0.452162,0.098518
0.314154,0.433611,0.395556,0.728569,0.538404,0.098778
0.45492,0.393423,0.649949,0.593078,0.511905,0.099038
0.45008,0.63207,0.695505,0.636901,0.385141,0.099298
0.480677,0.389908,0.481875,0.626244,0.418691,0.099558
0.497112,0.386523,0.452218,0.480511,0.552824,0.099818
0.240796,0.27723,0.592069,0.819638,0.540993,0.100078
0.745076,0.562876,0.504803,0.29954,0.421812,0.100338
0.52135,0.545097,0.584946,0.444784,0.574608,0.100598
0.610922,0.626478,0.691371,0.47516,0.390463,0.100858
0.658044,0.396288,0.506592,0.332932,0.444264,0.101118
0.211631,0.298861,0.399578,0.703213,0.690942,0.101378
0.582079,0.572564,0.463626,0.529587,0.373149,0.101638
0.552249,0.673694,0.380677,0.45507,0.64368,0.101898
0.346277,0.449711,0.571964,0.726274,0.53867,0.102158
0.48675,0.47861,0.266949,0.386042,0.781057,0.102417
0.471373,0.380152,0.358938,0.495228,0.577965,0.102677
0.486023,0.678713,0.606882,0.620727,0.41519,0.102937
0.400298,0.532295,0.489752,0.71348,0.560031,0.103197
0.420866,0.441281,0.466565,0.6603,0.51528,0.103457
0.607089,0.595662,0.524991,0.466843,0.416709,0.103717
0.386281,0.141511,0.365109,0.504977,0.665408,0.103977
0.394442,0.440413,0.640559,0.587417,0.540211,0.104237
0.492698,0.548137,0.359291,0.531135,0.43122,0.104497
0.289556,0.27931,0.439758,0.769283,0.506496,0.104757
0.479422,0.401916,0.538689,0.462284,0.62813,0.105017
0.433173,0.66373,0.551872,0.654321,0.585299,0.105277
0.353144,0.386354,0.327263,0.57293,0.711701,0.105537
0.483501,0.461559,0.381787,0.524573,0.691632,0.105797
0.628626,0.516314,0.336443,0.306236,0.632273,0.106057
0.487229,0.372155,0.545794,0.548607,0.375114,0.106317
0.496864,0.491932,0.245446,0.414393,0.703092,0.106577
0.552437,0.317823,0.157246,0.450438,0.582898,0.106836
0.433804,0.697972,0.716354,0.573988,0.676322,0.107096
0.496933,0.517735,0.360434,0.573832,0.452157,0.107356
0.184373,0.551605,0.742961,0.841489,0.597815,0.107616
0.462349,0.408519,0.403787,0.454472,0.725749,0.107876
0.583169,0.715266,0.649553,0.488459,0.36581,0.108136
0.644824,0.740329,0.587619,0.386177,0.473492,0.108396
0.466377,0.716045,0.687861,0.660317,0.513062,0.108656
0.546823,0.452344,0.718751,0.443346,0.639996,0.108916
0.301941,0.473737,0.75711,0.850683,0.502039,0.109176
0.517396,0.537573,0.297313,0.368566,0.725797,0.109436
0.464982,0.668098,0.58614,0.499661,0.617007,0.109696
0.599194,0.623075,0.53629,0.340528,0.458815,0.109956
0.570446,0.445278,0.397199,0.490233,0.365789,0.110216
0.422291,0.538952,0.628532,0.590011,0.563729,0.110476
0.455909,0.563167,0.42293,0.511913,0.660444,0.110736
0.399743,0.472266,0.702701,0.627489,0.461033,0.110996
0.646272,0.512261,0.494559,0.441689,0.375886,0.111256
0.561779,0.654102,0.61445,0.429086,0.626877,0.111515
0.739663,0.826214,0.660777,0.309339,0.498538,0.111775
0.608156,0.544565,0.615244,0.372555,0.577777,0.112035
0.42552,0.472789,0.519705,0.661223,0.41584,0.112295
0.597129,0.450805,0.553299,0.402745,0.479883,0.112555
0.29824,0.640236,0.579643,0.71905,0.590416,0.112815
0.593544,0.591389,0.631762,0.504546,0.400975,0.113075
0.411231,0.316423,0.422689,0.568964,0.610515,0.113335
0.877502,0.442502,0.446267,0.044872,0.474531,0.113595
0.496828,0.262209,0.452902,0.539411,0.4124,0.113855
0.387017,0.639814,0.503507,0.642846,0.552365,0.114115
0.623271,0.81995,0.430514,0.421898,0.57253,0.114375
0.329504,0.467874,0.388142,0.57283,0.858419,0.114635
0.274289,0.578973,0.572209,0.633851,0.706881,0.114895
0.539303,0.42001,0.719788,0.467279,0.459959,0.115155
0.701247,0.522807,0.403355,0.323791,0.459086,0.115415
0.485081,0.38291,0.577415,0.593203,0.396898,0.115675
0.48969,0.474192,0.451629,0.512947,0.446194,0.115934
0.495519,0.14223,0.355547,0.465069,0.632657,0.116194
0.578749,0.197704,0.552034,0.413832,0.417988,0.116454
0.343984,0.362783,0.559256,0.654025,0.508583,0.116714
0.423045,0.39835,0.489768,0.492211,0.600024,0.116974
0.449807,0.59059,0.371584,0.503797,0.641209,0.117234
0.442425,0.38825,0.519201,0.581713,0.596453,0.117494
0.426303,0.375784,0.337141,0.562317,0.71033,0.117754
0.352129,0.307006,0.588419,0.705311,0.51927,0.118014
0.492901,0.46136,0.140547,0.419461,0.660152,0.118274
0.328099,0.309853,0.405843,0.555072,0.698914,0.118534
0.355078,0.75965,0.395529,0.599035,0.913814,0.118794
